"","School","Nickname","Conference","Location","Home Venue"
"318","UMBC","Retrievers","AM East","Catonville, MD","Retriever Activities Center"
"319","UMKC","Kangaroos","Summit","Kansas City, MO","Swinney Gym"
"320","UNC Asheville","Bulldogs","Big South","Asheville, NC","Kimmel Arena"
"321","UNC Greensboro","Spartans","SoCon","Greensboro, NC","Greensboro Coliseum Fieldhouse"
"322","UNC Wilmington","Seahawks","CAA","Wilmington, NC","Trask Coliseum"
"323","UNLV","Runnin' Rebels","MWC","Las Vegas, NV","Thomas & Mack Center"
"324","USC","Trojans","Pac-12","Los Angeles, CA","Galen Center"
"325","USC Upstate","Spartans","Big South","Spartanburg, SC","G.B. Hodge Center"
"326","Utah","Utes","Pac-12","Salt Lake City, UT","Jon M. Huntsman Center"
"327","Utah State","Aggies","MWC","Logan, UT","Smith Spectrum"
"328","Utah Valley","Wolverines","WAC","Orem, UT","UCCU Center"
"329","UTEP","Miners","C-USA","El Paso, TX","Don Haskins Center"
"330","Valparaiso","Crusaders","MVC","Valparaiso, IN","Athletics-Recreation Center"
"331","Vanderbilt","Commodores","SEC","Nashville, TN","Memorial Gymnasium"
"332","VCU","Rams","A-10","Richmond, VA","Stuart C. Siegel Center"
"333","Vermont","Catamounts","AM East","Burlington, VT","Patrick Gym"
"334","Villanova","Wildcats","Big East","Villanova, PA","The Pavilion"
"335","Virginia","Cavaliers","ACC","Charlottesville, VA","John Paul Jones Arena"
"336","Virginia Military","Keydets","SoCon","Lexington, VA","Cameron Hall"
"337","Virginia Tech","Hokies","ACC","Blacksburg, VA","Cassell Coliseum"
"338","Wagner","Seahawks","NEC","Staten Island, NY","Spiro Sports Center"
"339","Wake Forest","Demon Deacons","ACC","Winston-Salem, NC","Lawrence Joel Veterans Memorial Coliseum"
"340","Washington","Huskies","Pac-12","Seattle, WA","Alaska Airlines Arena at Hec Edmundson Pavilion"
"341","Washington State","Cougars","Pac-12","Pullman, WA","Beasley Coliseum"
"342","Weber State","Wildcats","Big Sky","Ogden, UT","Dee Events Center"
"343","West Virginia","Mountaineers","Big 12","Morgantown, WV","WVU Coliseum"
"344","Western Carolina","Catamounts","SoCon","Cullowhee, NC","Ramsey Center"
"345","Western Illinois","Leathernecks","Summit","Macomb, IL","Western Hall"
"346","Western Kentucky","Hilltoppers","C-USA","Bowling Green, KY","E. A. Diddle Arena"
"347","Western Michigan","Broncos","MAC","Kalamazoo, MI","University Arena"
"348","Wichita State","Shockers","AAC","Wichita, KS","Charles Koch Arena"
"349","William & Mary","Tribe","CAA","Williamsburg, VA","Kaplan Arena"
"350","Winthrop","Eagles","Big South","Rock Hill, SC","Winthrop Coliseum"
"351","Wisconsin","Badgers","Big Ten","Madison, WI","Kohl Center"
"352","Wofford","Terriers","SoCon","Spartanburg, SC","Jerry Richardson Indoor Stadium"
"353","Wright State","Raiders","Horizon","Dayton, OH","Nutter Center"
"354","Wyoming","Cowboys","MWC","Laramie, WY","Arena-Auditorium"
"355","Xavier","Musketeers","Big East","Cincinnati, OH","Cintas Center"
"356","Yale","Bulldogs","Ivy","New Haven, CT","John J. Lee Amphitheater"
"357","Youngstown State","Penguins","Horizon","Youngstown, OH","Beeghly Center"
