"","Game","Team1Score","Team2Score","Margin","Team1Win","Team2Win","Team1Cover","Team2Cover","Total","Over","Under","OverTeam1Cover","OverTeam2Cover","UnderTeam1Cover","UnderTeam2Cover","OverTeam1Win","OverTeam2Win","UnderTeam1Win","UnderTeam2Win","GameTotal","GameSpread","Team1WinPayout","Team2WinPayout"
"1","ohio-buffalo",72.0613585127758,81.2435134615473,9.18215494877145,0.264474,0.735526,0.426181,0.573819,153.304871974323,0.450761,0.549239,0.204144,0.246617,0.222037,0.327202,0.134003,0.316758,0.130471,0.418768,154.5,6.5,240,-260
"2","duke-clemson",78.3370881723158,63.5159424061186,-14.8211457661971,0.859488,0.140512,0.596152,0.403848,141.853030578434,0.636576,0.363424,0.381327,0.255249,0.214825,0.148599,0.543314,0.093262,0.316174,0.04725,134.5,-11.5,-600,500
"3","richmond-davidson",62.6129368728529,66.5603307145145,3.94739384166156,0.379107,0.620893,0.531617,0.468383,129.173267587367,0.367324,0.632676,0.190622,0.176702,0.340995,0.291681,0.138819,0.228505,0.240288,0.392388,134,5,190,-210
"4","vcu-dayton",71.8558309616907,88.2546842650262,16.3988533033354,0.118753,0.881247,0.27314,0.72686,160.110515226717,0.875244,0.124756,0.228926,0.646318,0.044214,0.080542,0.098631,0.776613,0.020122,0.104634,138,8,305,-335
"5","ballst-easternmichigan",63.0484654294576,57.1055777229258,-5.94288770653177,0.668215,0.331785,0.569437,0.430563,120.154043152383,0.378528,0.621472,0.240502,0.138026,0.328935,0.292537,0.273111,0.105417,0.395104,0.226368,124.5,-3.5,-160,150
"6","mississippi-florida",58.7488236348838,75.0518317130112,16.3030080781274,0.081184,0.918816,0.374591,0.625409,133.800655347895,0.376619,0.623381,0.130335,0.246284,0.244256,0.379125,0.030543,0.346076,0.050641,0.57274,138,12.5,565,-695
"7","texastech-kansasst",64.312993714745,55.8513423495611,-8.46165136518388,0.766656,0.233344,0.665071,0.334929,120.164336064306,0.368594,0.631406,0.254746,0.113848,0.410325,0.221081,0.287941,0.080653,0.478715,0.152691,124.5,-3.5,-160,150
"8","kentst-miamioh",79.277083668405,71.5467947254938,-7.73028894291117,0.708347,0.291653,0.589125,0.410875,150.823878393899,0.525129,0.474871,0.320746,0.204383,0.268379,0.206492,0.378734,0.146395,0.329613,0.145258,148.5,-4.5,-190,175
"9","missouri-mississippist",59.2453712193432,67.5848210538738,8.3394498345306,0.237376,0.762624,0.307957,0.692043,126.830192273217,0.459662,0.540338,0.151962,0.3077,0.155995,0.384343,0.119995,0.339667,0.117381,0.422957,127.5,2.5,135,-145
"10","wyoming-nevada",50.3766475105105,73.5403365866498,23.1636890761392,0.041555,0.958445,0.263875,0.736125,123.91698409716,0.301947,0.698053,0.072847,0.2291,0.191028,0.507025,0.013059,0.288888,0.028496,0.669557,132,14.5,1025,-1250
"11","akron-northernillinois",70.8631552585075,66.0843238494108,-4.77883140909674,0.635129,0.364871,0.54796,0.45204,136.947479107918,0.517991,0.482009,0.310191,0.2078,0.237769,0.24424,0.350903,0.167088,0.284226,0.197783,135,-3,-150,140
"12","iowa-northwestern",74.4421553687648,65.1821627424541,-9.25999262631067,0.771526,0.228474,0.617732,0.382268,139.624318111219,0.432465,0.567535,0.277664,0.154801,0.340068,0.227467,0.338206,0.094259,0.43332,0.134215,141.5,-5.5,-220,200
"13","nebraska-ohiost",60.1709311749765,78.4142763422458,18.2433451672694,0.088878,0.911122,0.483864,0.516136,138.585207517222,0.445205,0.554795,0.204481,0.240724,0.279383,0.275412,0.042228,0.402977,0.04665,0.508145,140,17.5,1585,-2085
"14","kansas-oklahoma",68.356269269112,74.8012844624962,6.44501519338414,0.310469,0.689531,0.145475,0.854525,143.157553731608,0.569439,0.430561,0.093356,0.476083,0.052119,0.378442,0.186303,0.383136,0.124166,0.306395,139,-7.5,-280,255
"15","louisville-pittsburgh",61.9614950486841,62.0221757160459,0.060680667361882,0.497149,0.502851,0.289519,0.710481,123.98367076473,0.362281,0.637719,0.11932,0.242961,0.170199,0.46752,0.190971,0.17131,0.306178,0.331541,128.5,-6,-265,245
"16","lsu-texasam",66.2624397545188,70.0807813452233,3.81834159070451,0.379384,0.620616,0.206362,0.793638,136.343221099742,0.647011,0.352989,0.140749,0.506262,0.065613,0.287376,0.248663,0.398348,0.130721,0.222268,129,-6.5,-270,248
"17","centralmichigan-toledo",78.0143824321964,77.5799229884353,-0.434459443761078,0.511887,0.488113,0.75261,0.24739,155.594305420632,0.56192,0.43808,0.424928,0.136992,0.327682,0.110398,0.297713,0.264207,0.214174,0.223906,151.5,9,355,-400
"18","ucf-tulane",61.1685632029331,70.9391027617136,9.77053955878049,0.208409,0.791591,0.25959,0.74041,132.107665964647,0.395422,0.604578,0.09861,0.296812,0.16098,0.443598,0.080115,0.315307,0.128294,0.476284,135.5,2,120,-130
"19","depaul-villanova",62.3624969620536,79.2840007236605,16.9215037616069,0.10496,0.89504,0.289974,0.710026,141.646497685714,0.470382,0.529618,0.110404,0.359978,0.17957,0.350048,0.038346,0.432036,0.066614,0.463004,142,9.5,435,-500
"20","virginiatech-wakeforest",69.4147468947755,66.5822727832587,-2.83247411151687,0.573468,0.426532,0.471833,0.528167,135.997019678034,0.451375,0.548625,0.254257,0.197118,0.217576,0.331049,0.295435,0.15594,0.278033,0.270592,137,-3.5,-160,150
"21","tcu-westvirginia",68.8871816993357,61.2504910360383,-7.63669066329737,0.705464,0.294536,0.867491,0.132509,130.137672735374,0.533232,0.466768,0.476543,0.056689,0.390948,0.07582,0.406026,0.127206,0.299438,0.16733,127.5,7.5,285,-315
"22","bowlinggreen-westernmichigan",65.0562286149868,64.8692892128029,-0.186939402183927,0.505743,0.494257,0.376567,0.623433,129.92551782779,0.162271,0.837729,0.064339,0.097932,0.312228,0.525501,0.083204,0.079067,0.422539,0.41519,146,-4,-175,165
"23","maryland-wisconsin",58.4730023247805,67.5654804594991,9.09247813471861,0.22207,0.77793,0.319579,0.680421,126.03848278428,0.466009,0.533991,0.142473,0.323536,0.177106,0.356885,0.100346,0.365663,0.121724,0.412267,126.5,3.5,125,-135
"24","maryland-wisconsin",58.4730023247805,67.5654804594991,9.09247813471861,0.22207,0.77793,0.319579,0.680421,126.03848278428,0.466009,0.533991,0.142473,0.323536,0.177106,0.356885,0.100346,0.365663,0.121724,0.412267,126.5,3.5,125,-135
