"","Game","Team1Score","Team2Score","Margin","Team1Win","Team2Win","Team1Cover","Team2Cover","Total","Over","Under","OverTeam1Cover","OverTeam2Cover","UnderTeam1Cover","UnderTeam2Cover","OverTeam1Win","OverTeam2Win","UnderTeam1Win","UnderTeam2Win","GameTotal","GameSpread","Team1WinPayout","Team2WinPayout"
"1","georgiasouthern-appalachianst",71.8767550325254,67.9400711917013,-3.93668384082417,0.611743,0.388257,0.653507,0.346493,139.816826224227,0.462973,0.537027,0.320612,0.142361,0.332895,0.204132,0.303171,0.159802,0.308572,0.228455,140.5,1.5,110,-120
"2","arizonast-arizona",72.5204411091623,96.1929456501631,23.6725045410008,0.05046,0.94954,0.188371,0.811629,168.713386759325,0.86433,0.13567,0.15748,0.70685,0.030891,0.104779,0.04141,0.82292,0.00905,0.12662,146.5,11,540,-660
"3","texasam-arkansas",64.5278428512829,74.1468101569215,9.61896730563858,0.229208,0.770792,0.629078,0.370922,138.674653008204,0.725256,0.274744,0.449948,0.275308,0.17913,0.095614,0.16844,0.556816,0.060768,0.213976,127.5,14,1000,-1200
"4","texasarlington-arkansaslittlerock",63.7649037398142,62.4916116826289,-1.27329205718525,0.537523,0.462477,0.56894,0.43106,126.256515422443,0.276561,0.723439,0.170737,0.105824,0.398203,0.325236,0.163154,0.113407,0.374369,0.34907,135.5,1,-105,-105
"5","texasst-arkansasst",62.2549574527947,69.6495903313178,7.39463287852304,0.255536,0.744464,0.166482,0.833518,131.904547784113,0.498601,0.501399,0.088335,0.410266,0.078147,0.423252,0.131605,0.366996,0.123931,0.377468,131,-3.5,-165,155
"6","tennesseemartin-austinpeay",70.8273213335956,77.8297187539009,7.00239742030534,0.293129,0.706871,0.6058,0.3942,148.657040087496,0.32431,0.67569,0.198418,0.125892,0.407382,0.268308,0.104381,0.219929,0.188748,0.486942,156,10.5,510,-615
"7","texas-baylor",64.3690073561165,79.0461073279878,14.6770999718713,0.146036,0.853964,0.354422,0.645578,143.415114684104,0.746519,0.253481,0.275559,0.47096,0.078863,0.174618,0.119507,0.627012,0.026529,0.226952,130.5,9.5,365,-410
"8","easternillinois-belmont",72.5240362752249,77.8775901373863,5.35355386216143,0.357119,0.642881,0.679057,0.320943,150.401626412611,0.497985,0.502015,0.313562,0.184423,0.365495,0.13652,0.162043,0.335942,0.195076,0.306939,149.5,12,660,-840
"9","northernillinois-buffalo",66.6523751458731,82.6121280257025,15.9597528798294,0.130047,0.869953,0.286609,0.713391,149.264503171576,0.546686,0.453314,0.153497,0.393189,0.133112,0.320202,0.072599,0.474087,0.057448,0.395866,146,8,328,-365
"10","creighton-butler",71.2294950583306,70.8997138936543,-0.329781164676382,0.503,0.497,0.661228,0.338772,142.129208951985,0.642167,0.357833,0.436789,0.205378,0.224439,0.133394,0.34129,0.300877,0.16171,0.196123,134.5,5.5,205,-225
"11","loyolamarymount-byu",59.6776663998897,73.0027974225939,13.3251310227042,0.138635,0.861365,0.620356,0.379644,132.680463822484,0.410843,0.589157,0.247499,0.163344,0.372857,0.2163,0.064392,0.346451,0.074243,0.514914,135.5,17,1150,-1450
"12","nmsu-calbaptist",70.9306427823168,78.5827302684755,7.6520874861587,0.275209,0.724791,0.160822,0.839178,149.513373050792,0.755194,0.244806,0.120032,0.635162,0.04079,0.204016,0.202904,0.55229,0.072305,0.172501,136.5,-5,-210,190
"13","miamioh-centralmichigan",74.0505025256254,89.088684962966,15.0381824373406,0.157683,0.842317,0.200694,0.799306,163.139187488591,0.577555,0.422445,0.124317,0.453238,0.076377,0.346068,0.099626,0.477929,0.058057,0.364388,158,2.5,130,-140
"14","mtsu-charlotte",56.0411183737067,71.9453949514827,15.904276577776,0.12031,0.87969,0.264708,0.735292,127.986513325189,0.398575,0.601425,0.111972,0.286603,0.152736,0.448689,0.056133,0.342442,0.064177,0.537248,131.5,7.5,290,-320
"15","seattle-chicagost",60.0614532579312,53.3149196449202,-6.74653361301103,0.712486,0.287514,0.286873,0.713127,113.376372902851,0.03305,0.96695,0.012156,0.020894,0.274717,0.692233,0.023855,0.009195,0.688631,0.278319,144.5,-13.5,-1100,900
"16","ncst-clemson",72.3500314563436,62.6784387815561,-9.67159267478745,0.77182,0.22818,0.722289,0.277711,135.0284702379,0.36712,0.63288,0.270382,0.096738,0.451907,0.180973,0.286534,0.080586,0.485286,0.147594,140,-2,-130,120
"17","youngstownst-clevelandst",62.2094106267803,54.6881611652631,-7.52124946151716,0.743568,0.256432,0.637014,0.362986,116.897571792043,0.099735,0.900265,0.068267,0.031468,0.568747,0.331518,0.076874,0.022861,0.666694,0.233571,137,-3.5,-165,155
"18","georgiast-coastalcarolina",74.4991110476146,81.2993166607234,6.80020561310882,0.31542,0.68458,0.255538,0.744462,155.798427708338,0.482241,0.517759,0.128846,0.353395,0.126692,0.391067,0.156474,0.325767,0.158946,0.358813,155.5,-2.5,-140,130
"19","jamesmadison-charleston",63.4025758328973,72.7244259444337,9.3218501115364,0.240701,0.759299,0.52333,0.47667,136.127001777331,0.186883,0.813117,0.091481,0.095402,0.431849,0.381268,0.04443,0.142453,0.196271,0.616846,151.5,10,480,-570
"20","wyoming-coloradost",49.4180335428755,64.5646830712934,15.1466495284179,0.09818,0.90182,0.463613,0.536387,113.982716614169,0.183751,0.816249,0.086749,0.097002,0.376864,0.439385,0.023855,0.159896,0.074325,0.741924,127.5,14,1000,-1200
"21","providence-depaul",66.8403609580138,76.4445571637176,9.60419620570381,0.231246,0.768754,0.293843,0.706157,143.284918121731,0.53951,0.46049,0.159509,0.380001,0.134334,0.326156,0.127739,0.411771,0.103507,0.356983,140.5,2.5,130,-140
