Game.,Team,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,TR,AST,TO,STL,BLK,PF,PTS
1,presbyterian,16,53,3,17,14,19,7,29,4,27,5,5,25,49
1,duke,30,63,3,11,17,21,12,44,13,21,17,4,21,80
2,georgiasouthern,24,62,5,14,12,15,17,45,12,16,7,1,23,65
2,houston,20,57,7,20,16,27,14,37,9,14,6,2,21,63
3,georgiasouthern,18,64,5,19,13,21,15,36,6,17,5,6,28,54
3,duke,32,66,8,19,25,49,22,58,17,11,11,7,23,97
4,houston,30,56,6,15,10,15,7,26,12,9,11,1,23,76
4,presbyterian,16,40,6,21,19,24,7,28,8,18,5,3,18,57
5,northeastern,21,50,7,22,24,26,8,33,13,8,5,3,18,73
5,iupui,20,51,2,17,18,26,12,32,7,9,3,4,22,60
6,prairieviewam,21,50,4,12,12,20,5,22,8,26,9,2,18,58
6,ucla,32,62,8,22,10,18,17,42,14,24,14,5,17,82
7,miamioh,24,54,10,20,12,17,7,25,9,14,4,1,17,70
7,weberst,22,41,9,17,13,20,6,32,12,21,3,0,23,66
8,massachusetts,23,51,8,20,19,26,12,38,8,20,4,7,19,73
8,southernillinois,30,63,9,22,11,15,8,27,23,10,7,5,21,80
9,northeastern,17,58,4,24,18,21,18,31,11,11,9,1,21,56
9,michigan,23,43,5,14,25,26,9,33,15,14,7,3,20,76
10,miamioh,20,41,7,15,12,14,2,22,10,9,2,2,18,59
10,ucla,23,51,5,18,13,20,9,29,5,7,3,5,15,64
11,prairieviewam,27,68,5,22,9,15,9,28,15,8,9,1,19,68
11,weberst,27,47,9,17,15,21,6,37,11,23,3,3,18,78
12,westerncarolina,21,61,8,22,5,9,7,31,10,16,5,3,25,55
12,connecticut,28,55,4,13,21,30,8,42,17,14,8,7,17,81
13,fairleighdickinson,21,49,9,19,12,13,5,24,11,20,5,1,13,63
13,pittsburgh,36,65,5,17,9,12,13,35,27,11,9,0,15,86
14,stetson,13,50,4,19,8,11,6,28,5,19,3,1,16,38
14,texas,27,50,8,15,6,16,7,37,9,15,6,8,17,68
15,detroit,17,52,4,14,12,19,9,41,9,20,1,3,22,50
15,purdue,28,64,8,23,18,26,8,36,21,3,9,3,19,82
16,american,21,60,6,22,6,8,10,31,9,15,0,1,24,54
16,oklahoma,28,52,7,23,20,32,11,38,15,12,13,6,12,83
17,MVSU,23,54,10,25,8,13,13,31,14,20,5,1,26,64
17,arizonast,26,45,8,23,20,28,4,25,24,12,8,1,16,80
18,houstonbaptist,21,53,8,24,14,23,7,31,8,24,8,2,28,64
18,marquette,34,66,5,22,22,30,13,41,23,13,13,3,22,95
