"","Game","Team1Score","Team2Score","Margin","Team1Win","Team2Win","Team1Cover","Team2Cover","Total","Over","Under","OverTeam1Cover","OverTeam2Cover","UnderTeam1Cover","UnderTeam2Cover","OverTeam1Win","OverTeam2Win","UnderTeam1Win","UnderTeam2Win","GameTotal","GameSpread","Team1WinPayout","Team2WinPayout"
"1","hawaii-calstfullerton",62.3711999901592,62.0857701854136,-0.285429804745645,0.508668,0.491332,0.41257,0.58743,124.456970175573,0.238613,0.761387,0.108504,0.130109,0.304066,0.457321,0.129275,0.109338,0.379393,0.381994,135.5,-3,-145,135
"2","washingtonst-cal",60.9446020145855,61.2464683166869,0.301866302101377,0.493458,0.506542,0.560917,0.439083,122.191070331272,0.236436,0.763564,0.129917,0.106519,0.431,0.332564,0.115418,0.121018,0.37804,0.385524,133,2,115,-125
"3","detroit-clevelandst",59.7488800751055,61.4060247836706,1.65714470856509,0.442018,0.557982,0.472951,0.527049,121.154904858776,0.104233,0.895767,0.061253,0.04298,0.411698,0.484069,0.058606,0.045627,0.383412,0.512355,142.5,1,103,-113
"4","easternillinois-easternkentucky",77.5559766799569,66.3041452183712,-11.2518314615857,0.796022,0.203978,0.703293,0.296707,143.860121898328,0.33938,0.66062,0.244202,0.095178,0.459091,0.201529,0.271993,0.067387,0.524029,0.136591,150.5,-4,-170,160
"5","montana-easternwashington",58.6141366768662,86.5478444079867,27.9337077311206,0.028532,0.971468,0.06195,0.93805,145.161981084853,0.400217,0.599783,0.019219,0.380998,0.042731,0.557052,0.008883,0.391334,0.019649,0.580134,149,5.5,220,-240
"6","charleston-elon",63.4369356879433,61.7638310373885,-1.67310465055481,0.555134,0.444866,0.291064,0.708936,125.200766725332,0.226083,0.773917,0.065267,0.160816,0.225797,0.54812,0.116397,0.109686,0.438737,0.33518,137.5,-9,-430,380
"7","louisianamonroe-georgiasouthern",59.4904200686468,66.2850675159843,6.79464744733757,0.295112,0.704888,0.630714,0.369286,125.775487584631,0.170131,0.829869,0.106967,0.063164,0.523747,0.306122,0.057466,0.112665,0.237646,0.592223,141.5,11,540,-660
"8","louisianalafayette-georgiast",72.5849288907932,77.6827076283689,5.09777873757573,0.353598,0.646402,0.627699,0.372301,150.267636519162,0.397515,0.602485,0.254056,0.143459,0.373643,0.228842,0.153104,0.244411,0.200494,0.401991,154,9.5,420,-475
"9","montanast-idaho",60.8487352285297,64.880316625973,4.03158139744329,0.37228,0.62772,0.285815,0.714185,125.729051854503,0.253818,0.746182,0.082298,0.17152,0.203517,0.542665,0.102954,0.150864,0.269326,0.476856,136,-3,-150,140
"10","southernutah-idahost",57.3899776939487,63.3309454575621,5.94096776361341,0.314325,0.685675,0.174738,0.825262,120.720923151511,0.206233,0.793767,0.036505,0.169728,0.138233,0.655534,0.061668,0.144565,0.252657,0.54111,133.5,-5.5,-220,200
