"","Game","total.result","total.pred","total.conf","TResult","Date","Round"
"86","notredame-syracuse","Over","Over",0.732387,1,0001-04-20,0.73
"87","iowast-tcu","Over","Over",0.756854,1,0001-04-20,0.76
"88","lsu-tennessee","Over","Over",0.663667,1,0001-04-20,0.66
"89","siuedwardsville-tennesseest","Over","Under",0.785013,0,0001-04-20,0.79
"90","oklahomast-texastech","Over","Over",0.88709,1,0001-04-20,0.89
"91","westerncarolina-citadel","Over","Under",0.509279,0,0001-04-20,0.51
"92","cincinnati-tulane","Over","Under",0.52929,0,0001-04-20,0.53
"93","utahvalleyst-umkc","Under","Under",0.643911,1,0001-04-20,0.64
"94","airforce-unlv","Under","Under",0.631317,1,0001-04-20,0.63
"95","oregon-utah","Under","Over",0.693925,0,0001-04-20,0.69
"96","someth-vanderbilt","Over","Over",0.769665,1,0001-04-20,0.77
"97","virginiatech-virginia","Under","Over",0.676145,0,0001-04-20,0.68
"98","samford-vmi","Over","Under",0.722012,0,0001-04-20,0.72
"99","ucla-washingtonst","Over","Under",0.520332,0,0001-04-20,0.52
"100","rice-westernkentucky","Under","Under",0.59486,1,0001-04-20,0.59
"101","ohio-westernmichigan","Over","Under",0.550323,0,0001-04-20,0.55
"102","mississippi-wichitast","Under","Over",0.718317,0,0001-04-20,0.72
"103","ncgreensboro-wofford","Over","Under",0.524595,0,0001-04-20,0.52
"104","fairfiield-canisius","Under","Under",0.752419,1,0001-05-20,0.75
"105","oregonst-colorado","Over","Over",0.718991,1,0001-05-20,0.72
"106","wrightst-detroit","Under","Under",0.699496,1,0001-05-20,0.7
"107","davidson-duquesne","Over","Over",0.719892,1,0001-05-20,0.72
"108","lasalle-fordham","Over","Under",0.730238,0,0001-05-20,0.73
"109","vcu-georgemason","Over","Over",0.722407,1,0001-05-20,0.72
"110","stbonaventure-georgewashington","Over","Under",0.675753,0,0001-05-20,0.68
"111","purdue-illinois","Under","Over",0.543533,0,0001-05-20,0.54
"112","michigan-michiganst","Over","Over",0.913927,1,0001-05-20,0.91
"113","northwestern-minnesota","Over","Under",0.50946,0,0001-05-20,0.51
"114","iona-monmouth","Under","Under",0.614198,1,0001-05-20,0.61
"115","manhattan-niagara","Over","Under",0.73051,0,0001-05-20,0.73
"116","ipfw-northdakota","Over","Over",0.55889,1,0001-05-20,0.56
"117","northernkentucky-oakland","Over","Under",0.880994,0,0001-05-20,0.88
"118","richmond-rhodeisland","Under","Over",0.58162,0,0001-05-20,0.58
"119","siena-rider","Over","Under",0.602578,0,0001-05-20,0.6
