My.Name,kenpom,oddshark,espn,realgm,kenpom_tempo,neutral,espn full,247
cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati Bearcats,cincinnati,Cincinnati,Cincinnati Bearcats,cincinnati
citadel,The Citadel,The Citadel,The Citadel,Citadel Bulldogs,the+citadel,The Citadel,The Citadel Bulldogs,citadel
clemson,Clemson,Clemson,Clemson,Clemson Tigers,clemson,Clemson,Clemson Tigers,clemson
clevelandst,Cleveland St.,Cleveland State,Cleveland State,Cleveland State Vikings,cleveland+st.,Cleveland St.,Cleveland State Vikings,cleveland-state
coastalcarolina,Coastal Carolina,Coastal Carolina,Coastal Carolina,Coastal Carolina Chanticleers,coastal+carolina,Coastal Carolina,Coastal Carolina Chanticleers,coastal-carolina
colgate,Colgate,Colgate,Colgate,Colgate Raiders,colgate,Colgate,Colgate Raiders,colgate
colorado,Colorado,Colorado,Colorado,Colorado Buffaloes,colorado,Colorado,Colorado Buffaloes,colorado
coloradost,Colorado St.,Colorado State,Colorado State,Colorado State Rams,colorado+st.,Colorado St.,Colorado State Rams,colorado-state
columbia,Columbia,Columbia,Columbia,Columbia Lions,columbia,Columbia,Columbia International Rams,columbia
connecticut,Connecticut,Connecticut,Connecticut,Connecticut Huskies,connecticut,Connecticut,UConn Huskies,uconn
coppinst,Coppin St.,Coppin State,Coppin State,Coppin State Eagles,coppin+st.,Coppin St.,Coppin State Eagles,coppin-state
cornell,Cornell,Cornell,Cornell,Cornell Big Red,cornell,Cornell,Cornell Big Red,cornell
creighton,Creighton,Creighton,Creighton,Creighton Bluejays,creighton,Creighton,Creighton Bluejays,creighton
dartmouth,Dartmouth,Dartmouth,Dartmouth,Dartmouth Big Green,dartmouth,Dartmouth,Dartmouth Big Green,dartmouth
davidson,Davidson,Davidson,Davidson,Davidson Wildcats,davidson,Davidson,Davidson Wildcats,davidson
dayton,Dayton,Dayton,Dayton,Dayton Flyers,dayton,Dayton,Dayton Flyers,dayton
delaware,Delaware,Delaware,Delaware,Delaware Fightin Blue Hens,delaware,Delaware,Delaware Blue Hens,delaware
delawarest,Delaware St.,Delaware State,Delaware State,Delaware State Hornets,delaware+st.,Delaware St.,Delaware State Hornets,delaware-state
denver,Denver,Denver,Denver,Denver Pioneers,denver,Denver,Denver Pioneers,denver
depaul,DePaul,DePaul,DePaul,DePaul Blue Demons,depaul,DePaul,DePaul Blue Demons,depaul
detroit,Detroit,Detroit,Detroit Mercy,Detroit-Mercy Titans,detroit,Detroit,Detroit Mercy Titans,detroit
drake,Drake,Drake,Drake,Drake Bulldogs,drake,Drake,Drake Bulldogs,drake
drexel,Drexel,Drexel,Drexel,Drexel Dragons,drexel,Drexel,Drexel Dragons,drexel
duke,Duke,Duke,Duke,Duke Blue Devils,duke,Duke,Duke Blue Devils,duke
