"","player.name","player.rating","player.pos","player.ht","player.wt","player.nat.rank","player.pos.rank","player.state.rank","player.year","player.team"
"163","jervay green","0.8678","sg","6-3",200,NA,NA,NA,2019,"nebraska"""
"164","cameron mack","0.8628","pg","6-3",165,NA,NA,NA,2019,"nebraska"""
"165","kevin cross","0.8556","pf","6-8",240,473,95,6,2019,"nebraska"""
"166","dalano banton","0.9641","im","6-6",185,NA,NA,NA,2019,"nebraska"""
"167","haanif cheatham","0.9695","im","6-5",195,NA,NA,NA,2019,"nebraska"""
"168","shamiel stevenson","0.8681","im","6-6",230,NA,NA,NA,2019,"nebraska"""
"169","derrick walker","0.8652","pg","6-8",236,NA,NA,NA,2019,"nebraska"""
"170","robbie beran","0.9451","pf","6-9",210,110,18,5,2019,"northwestern"""
"171","jared jones","0.886","c""","6-9",232,225,41,9,2019,"northwestern"""
"172","daniel buie","0.8723","pg","6-2",160,327,43,2,2019,"northwestern"""
"173","dj carton","0.988","pg","6-1",190,34,4,1,2019,"ohio-state"""
"174","ej liddell","0.9828","pf","6-6",220,44,8,1,2019,"ohio-state"""
"175","alonzo gaffney","0.9805","sf","6-9",190,50,12,2,2019,"ohio-state"""
"176","ibrahima diallo","0.8678","c""","7-0",200,369,64,34,2019,"ohio-state"""
"177","justice sueing","0.8985","pg","6-7",205,NA,NA,NA,2019,"ohio-state"""
"178","seth lundy","0.8868","sf","6-6",195,221,51,8,2019,"penn-state"""
"179","patrick kelly","0.841","sf","6-8",205,497,108,41,2019,"penn-state"""
"180","abdou tsimbila","0.8723","c""","6-8",220,319,54,6,2019,"penn-state"""
"181","curtis jones","0.9579","sf","6-4",170,NA,NA,NA,2019,"penn-state"""
"182","brandon newman","0.9348","sg","6-4",175,126,22,5,2019,"purdue"""
"183","isaiah thompson","0.8904","pg","6-0",165,211,25,7,2019,"purdue"""
"184","mason gillis","0.8873","pf","6-6",215,220,43,8,2019,"purdue"""
"185","jahaad proctor",NA,"pg","6-3",215,NA,NA,NA,2019,"purdue"""
"186","paul mulcahy","0.9232","sf","6-6",186,156,38,7,2019,"rutgers"""
"187","akwasi yeboah",NA,"sf","6-6",235,NA,NA,NA,2019,"rutgers"""
"188","tyler wahl","0.8926","sf","6-7",200,204,44,4,2019,"wisconsin"""
"189","micah potter","0.8591","sf","6-9",240,NA,NA,NA,2019,"wisconsin"""
"190","jaelen house","0.9374","pg","6-2",160,118,12,4,2019,"arizona-state"""
"191","jalen graham","0.9161","c""","6-9",205,169,28,5,2019,"arizona-state"""
"192","khalid thomas","0.9","pf","6-9",210,NA,NA,NA,2019,"arizona-state"""
"193","alonzo verge jr.","0.89","cg","6-3",160,NA,NA,NA,2019,"arizona-state"""
"194","andre allen","0.8728","pf","6-9",210,NA,NA,NA,2019,"arizona-state"""
"195","caleb christopher","0.8405","cg","6-0",180,498,45,20,2019,"arizona-state"""
"196","nico mannion","0.9967","pg","6-3",180,9,1,1,2019,"arizona"""
"197","josh green","0.9954","sf","6-6",190,13,3,2,2019,"arizona"""
"198","zeke nnaji","0.9854","pf","6-11",215,40,7,2,2019,"arizona"""
"199","christian koloko","0.8996","c""","7-0",195,187,33,15,2019,"arizona"""
"200","jordan brown","0.9933","im","6-10",210,NA,NA,NA,2019,"arizona"""
"201","jemarl baker","0.969","im","6-4",185,NA,NA,NA,2019,"arizona"""
"202","max hazzard","0.836","pg","5-10",165,NA,NA,NA,2019,"arizona"""
"203","joel brown","0.8963","pg","6-2",180,195,22,5,2019,"california"""
"204","d.j. thorpe","0.8931","c""","6-8",230,203,40,20,2019,"california"""
"205","kuany kuany","0.8678","pf","6-10",200,371,71,36,2019,"california"""
"206","dimitrios klonaras","0.8","sf","6-5",210,526,115,1,2019,"california"""
"207","lars thiemann",NA,"c""","6-11",248,NA,NA,NA,2019,"california"""
"208","kareem south",NA,"pg","6-2",185,NA,NA,NA,2019,"california"""
"209","keeshawn barthelemy","0.9158","pg","6-2",170,170,17,3,2019,"colorado"""
"210","maddox daniels",NA,"sf","6-6",200,NA,NA,NA,2019,"colorado"""
"211","n&#39;faly dante","0.9952","c""","6-11",230,14,4,1,2019,"oregon"""
"212","cj walker","0.9903","pf","6-8",200,28,6,7,2019,"oregon"""
"213","addison patterson","0.9842","sg","6-6",180,42,4,2,2019,"oregon"""
"214","chandler lawson","0.9613","pf","6-8",205,95,16,2,2019,"oregon"""
"215","chris duarte","0.9","sg","6-5",175,NA,NA,NA,2019,"oregon"""
"216","lã¶k wur","0.8556","pf","6-9",190,478,96,2,2019,"oregon"""
"217","isaac johnson","0.9717","c""","6-11",220,74,18,2,2019,"oregon"""
"218","amauri hardy","0.874","im","6-2",175,NA,NA,NA,2019,"oregon"""
"219","eugene omoruyi",NA,"im","6-6",220,NA,NA,NA,2019,"oregon"""
"220","anthony mathis","0.8385","im","6-3",170,NA,NA,NA,2019,"oregon"""
"221","shakur juiston","0.93","im","6-7",215,NA,NA,NA,2019,"oregon"""
"222","eric williams jr.",NA,"sg","6-6",205,NA,NA,NA,2019,"oregon"""
"223","jarod lucas","0.8764","cg","6-2",180,295,37,26,2019,"oregon-state"""
"224","gianni hunt","0.8723","pg","6-2",170,323,42,28,2019,"oregon-state"""
"225","dearon tucker","0.8715","pf","6-10",220,332,63,24,2019,"oregon-state"""
"226","julien franklin","0.8678","sf","6-5",175,395,86,40,2019,"oregon-state"""
"227","roman silva","0.8181","c""","7-1",260,NA,NA,NA,2019,"oregon-state"""
"228","sean miller-moore",NA,"sg","6-5",190,NA,NA,NA,2019,"oregon-state"""
"229","shengzhe li","0.8278","c""","6-10",250,510,79,48,2019,"oregon-state"""
"230","tyrell terry","0.9465","pg","6-1",160,109,10,3,2019,"stanford"""
"231","spencer jones","0.8842","sf","6-7",195,231,53,12,2019,"stanford"""
"232","james keefe","0.8678","pf","6-9",200,381,76,39,2019,"stanford"""
"233","jaime jaquez","0.9659","sf","6-7",210,87,20,8,2019,"ucla"""
"234","jake kyman","0.871","sf","6-6",180,334,76,31,2019,"ucla"""
"235","isaiah mobley","0.9925","pf","6-9",220,20,5,1,2019,"usc"""
"236","onyeka okongwu","0.9907","c""","6-8",235,25,5,2,2019,"usc"""
"237","max agbonkpolo","0.978","sf","6-8",180,59,14,7,2019,"usc"""
"238","kyle sturdivant","0.9274","pg","6-3",190,143,14,7,2019,"usc"""
"239","drake london","0.8984","sg","6-4",200,189,30,16,2019,"usc"""
"240","ethan anderson","0.8723","pg","6-1",195,328,44,29,2019,"usc"""
"241","daniel utomi",NA,"im","6-6",215,NA,NA,NA,2019,"usc"""
"242","quinton adlesh",NA,"pg","6-0",190,NA,NA,NA,2019,"usc"""
"243","rylan jones","0.943","pg","6-1",165,113,11,3,2019,"utah"""
"244","mikael jantunen","0.8888","pf","6-8",215,214,41,1,2019,"utah"""
"245","matthew van komen","0.885","c""","7-4",220,228,42,6,2019,"utah"""
"246","brendan wenzel","0.8278","sg","6-6",180,512,96,36,2019,"utah"""
"247","alfonso plummer",NA,"sg","6-1",175,NA,NA,NA,2019,"utah"""
"248","isaiah stewart","0.9993","c""","6-9",245,3,2,1,2019,"washington"""
"249","jaden mcdaniels","0.9969","pf","6-9",185,8,1,1,2019,"washington"""
"250","raequan battle","0.9693","sg","6-4",175,80,13,3,2019,"washington"""
"251","marcus tsohonis","0.8731","pg","6-3",170,315,41,1,2019,"washington"""
"252","quade green","0.9907","im","6-1",177,NA,NA,NA,2019,"washington"""
"253","j&#39;raan brooks","0.9693","pg","6-9",220,NA,NA,NA,2019,"washington"""
"254","noah williams","0.8743","sf","6-5",190,305,69,6,2019,"washington-state"""
"255","daron henson","0.8678","pf","6-7",210,NA,NA,NA,2019,"washington-state"""
