"","Game","Team1Score","Team2Score","Margin","Team1Win","Team2Win","Team1Cover","Team2Cover","Total","Over","Under","OverTeam1Cover","OverTeam2Cover","UnderTeam1Cover","UnderTeam2Cover","OverTeam1Win","OverTeam2Win","UnderTeam1Win","UnderTeam2Win","GameTotal","GameSpread","Team1WinPayout","Team2WinPayout"
"1","louisianalafayette-appalachianst",65.9217100238385,68.2381436617798,2.31643363794133,0.425838,0.574162,0.657466,0.342534,134.159853685618,0.277445,0.722555,0.184621,0.092824,0.472845,0.24971,0.126995,0.15045,0.298843,0.423712,143.5,7.5,305,-335
"2","georgiasouthern-arkansaslittlerock",65.2013779197849,69.6787145717327,4.47733665194786,0.367338,0.632662,0.440632,0.559368,134.880092491518,0.278236,0.721764,0.125991,0.152245,0.314641,0.407123,0.107372,0.170864,0.259966,0.461798,144.5,2.5,130,-140
"3","georgiast-arkansasst",64.5896380756687,78.0853689765411,13.4957309008724,0.144709,0.855291,0.091949,0.908051,142.67500705221,0.436193,0.563807,0.043955,0.392238,0.047994,0.515813,0.066835,0.369358,0.077874,0.485933,144.5,-3.5,-160,150
"4","louisianamonroe-coastalcarolina",56.9681446097149,72.0171667963843,15.0490221866694,0.113779,0.886221,0.298979,0.701021,128.985311406099,0.288041,0.711959,0.085936,0.202105,0.213043,0.498916,0.036297,0.251744,0.077482,0.634477,137.5,8.5,345,-385
"5","westvirginia-oklahomast",67.1111345357963,70.4927880695131,3.3816535337168,0.394643,0.605357,0.363737,0.636263,137.603922605309,0.467117,0.532883,0.171533,0.295584,0.192204,0.340679,0.185086,0.282031,0.209557,0.323326,138,-1,-113,103
"6","southalabama-texasarlington",69.9176450160095,72.6127801907547,2.69513517474519,0.420183,0.579817,0.601059,0.398941,142.530425206764,0.566051,0.433949,0.33317,0.232881,0.267889,0.16606,0.235589,0.330462,0.184594,0.249355,138.5,6,230,-250
"7","troy-texasst",55.738927204026,68.2420097629734,12.5030825589474,0.148048,0.851952,0.431447,0.568553,123.980936966999,0.242611,0.757389,0.109023,0.133588,0.322424,0.434965,0.044229,0.198382,0.103819,0.65357,134.5,10.5,480,-570
"8","troy-texasst",55.738927204026,68.2420097629734,12.5030825589474,0.148048,0.851952,0.431447,0.568553,123.980936966999,0.242611,0.757389,0.109023,0.133588,0.322424,0.434965,0.044229,0.198382,0.103819,0.65357,134.5,10.5,480,-570
