"","team.ph.x3ptpdef","year.ph.x3ptpdef","m1","m2","m3","m4","team.year","x3ptp"
"1","airforce","2019",0.348592140991658,0.388570748844089,0.355354499560025,0.332142709490378,"airforce-2019",0.365897036953777
"2","airforce","2018",0.388570748844089,0.355354499560025,0.332142709490378,0.325422803469543,"airforce-2018",0.348592140991658
"3","airforce","2017",0.355354499560025,0.332142709490378,0.325422803469543,0.326555217428515,"airforce-2017",0.388570748844089
"4","airforce","2016",0.332142709490378,0.325422803469543,0.326555217428515,0.311503969827192,"airforce-2016",0.355354499560025
"5","airforce","2015",0.325422803469543,0.326555217428515,0.311503969827192,0.331711893428197,"airforce-2015",0.332142709490378
"6","airforce","2014",0.326555217428515,0.311503969827192,0.331711893428197,0.311859196286258,"airforce-2014",0.325422803469543
"7","airforce","2013",0.311503969827192,0.331711893428197,0.311859196286258,0.301271595051145,"airforce-2013",0.326555217428515
"8","airforce","2012",0.331711893428197,0.311859196286258,0.301271595051145,0.308725190478718,"airforce-2012",0.311503969827192
"9","airforce","2011",0.311859196286258,0.301271595051145,0.308725190478718,0.380706049347535,"airforce-2011",0.331711893428197
"10","airforce","2010",0.301271595051145,0.308725190478718,0.380706049347535,0.292700172964717,"airforce-2010",0.311859196286258
"11","airforce","2009",0.308725190478718,0.380706049347535,0.292700172964717,0.331322706173912,"airforce-2009",0.301271595051145
"12","airforce","2008",0.380706049347535,0.292700172964717,0.331322706173912,0.359931777511121,"airforce-2008",0.308725190478718
"13","airforce","2007",0.292700172964717,0.331322706173912,0.359931777511121,0.296802682027334,"airforce-2007",0.380706049347535
"14","akron","2019",0.292840914275615,0.384964099119274,0.372024896428997,0.316868925754926,"akron-2019",0.326202902012489
"15","akron","2018",0.384964099119274,0.372024896428997,0.316868925754926,0.302141709938031,"akron-2018",0.292840914275615
"16","akron","2017",0.372024896428997,0.316868925754926,0.302141709938031,0.315074076260342,"akron-2017",0.384964099119274
"17","akron","2016",0.316868925754926,0.302141709938031,0.315074076260342,0.346622550770476,"akron-2016",0.372024896428997
"18","akron","2015",0.302141709938031,0.315074076260342,0.346622550770476,0.276754122702117,"akron-2015",0.316868925754926
"19","akron","2014",0.315074076260342,0.346622550770476,0.276754122702117,0.31485632866085,"akron-2014",0.302141709938031
"20","akron","2013",0.346622550770476,0.276754122702117,0.31485632866085,0.342630038419827,"akron-2013",0.315074076260342
"21","akron","2012",0.276754122702117,0.31485632866085,0.342630038419827,0.279979404687192,"akron-2012",0.346622550770476
"22","akron","2011",0.31485632866085,0.342630038419827,0.279979404687192,0.323865015119802,"akron-2011",0.276754122702117
"23","akron","2010",0.342630038419827,0.279979404687192,0.323865015119802,0.344715375832574,"akron-2010",0.31485632866085
"24","akron","2009",0.279979404687192,0.323865015119802,0.344715375832574,0.307873646733967,"akron-2009",0.342630038419827
"25","akron","2008",0.323865015119802,0.344715375832574,0.307873646733967,0.384922175521648,"akron-2008",0.279979404687192
"26","akron","2007",0.344715375832574,0.307873646733967,0.384922175521648,0.365639725066153,"akron-2007",0.323865015119802
"27","alabama","2019",0.298609633188196,0.332213862424961,0.329931139943926,0.331034229899912,"alabama-2019",0.290775291779553
"28","alabama","2018",0.332213862424961,0.329931139943926,0.331034229899912,0.325838936379404,"alabama-2018",0.298609633188196
"29","alabama","2017",0.329931139943926,0.331034229899912,0.325838936379404,0.327221014707159,"alabama-2017",0.332213862424961
"30","alabama","2016",0.331034229899912,0.325838936379404,0.327221014707159,0.311250276501641,"alabama-2016",0.329931139943926
"31","alabama","2015",0.325838936379404,0.327221014707159,0.311250276501641,0.285714285714286,"alabama-2015",0.331034229899912
"32","alabama","2014",0.327221014707159,0.311250276501641,0.285714285714286,0.328735583704915,"alabama-2014",0.325838936379404
"33","alabama","2013",0.311250276501641,0.285714285714286,0.328735583704915,0.291943250942169,"alabama-2013",0.327221014707159
"34","alabama","2012",0.285714285714286,0.328735583704915,0.291943250942169,0.317466999353234,"alabama-2012",0.311250276501641
"35","alabama","2011",0.328735583704915,0.291943250942169,0.317466999353234,0.351454793276269,"alabama-2011",0.285714285714286
"36","alabama","2010",0.291943250942169,0.317466999353234,0.351454793276269,0.283351418529746,"alabama-2010",0.328735583704915
"37","alabama","2009",0.317466999353234,0.351454793276269,0.283351418529746,0.344565190537411,"alabama-2009",0.291943250942169
"38","alabama","2008",0.351454793276269,0.283351418529746,0.344565190537411,0.371622865701833,"alabama-2008",0.317466999353234
"39","alabama","2007",0.283351418529746,0.344565190537411,0.371622865701833,0.349728417463367,"alabama-2007",0.351454793276269
"40","alabamaam","2019",0.34227090578284,0.360332586664439,0.348107999637537,0.285566225256228,"alabamaam-2019",0.303534553151374
"41","alabamaam","2018",0.360332586664439,0.348107999637537,0.285566225256228,0.330616662400029,"alabamaam-2018",0.34227090578284
"42","alabamaam","2017",0.348107999637537,0.285566225256228,0.330616662400029,0.309990349484451,"alabamaam-2017",0.360332586664439
"43","alabamaam","2016",0.285566225256228,0.330616662400029,0.309990349484451,0.327701754381971,"alabamaam-2016",0.348107999637537
"44","alabamaam","2015",0.330616662400029,0.309990349484451,0.327701754381971,0.32651725124184,"alabamaam-2015",0.285566225256228
