"","x"
"292","eastern-illinois"""
"293","eastern-kentucky"""
"294","jacksonville-state"""
"295","morehead-state"""
"296","murray-state"""
"297","siue"""
"298","semo"""
"299","tennessee-state"""
"300","tennessee-tech"""
"301","tennessee-martin"""
"302","american"""
"303","army"""
"304","boston"""
"305","bucknell"""
"306","colgate"""
"307","holy-cross"""
"308","lafayette"""
"309","lehigh"""
"310","loyola-maryland"""
"311","navy"""
"312","chattanooga"""
"313","etsu"""
"314","furman"""
"315","samford"""
"316","citadel"""
"317","uncg"""
"318","vmi"""
"319","western-carolina"""
"320","wofford"""
"321","central-arkansas"""
"322","houston-baptist"""
"323","lamar"""
"324","mcneese-state"""
"325","new-orleans"""
"326","nicholls-state"""
"327","northwestern-state"""
"328","oral-roberts"""
"329","sam-houston-state"""
"330","southeastern-louisiana"""
"331","sfasu"""
"332","tamucc"""
"333","aamu"""
"334","alabama-state"""
"335","alcorn-state"""
"336","arkansas-pine-bluff"""
"337","grambling-state"""
"338","jackson-state"""
"339","mvsu"""
"340","pvamu"""
"341","southern"""
"342","texas-southern"""
