"","Game.","Team","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","TR","AST","TO","STL","BLK","PF","PTS"
"2378",438,"mountstmarys",24,56,8,27,5,13,13,34,9,17,6,1,20,61
"4017",439,"uab",22,54,2,10,9,11,9,33,5,17,9,1,21,55
"4240",439,"utahvalleyst",23,52,10,23,10,14,9,34,9,20,6,6,15,66
"1663",440,"iowa",32,68,8,24,15,26,17,44,21,8,5,3,17,87
"2931",440,"oralroberts",28,65,8,23,10,12,9,34,12,12,3,1,21,74
"4159",441,"umkc",20,52,7,22,5,10,7,27,11,12,8,2,20,52
"4301",441,"uwmilwaukee",21,48,7,20,12,16,9,38,14,17,2,1,13,61
"1960",442,"louisianalafayette",21,48,3,13,28,32,5,34,7,15,9,3,14,73
"4668",442,"youngstownst",23,67,8,31,7,11,16,37,9,15,8,2,25,61
"199",443,"arkansasst",28,58,6,16,18,22,13,33,18,16,12,2,16,80
"4037",443,"ucdavis",25,49,6,20,11,14,6,24,13,23,5,0,18,67
"3744",444,"stonybrook",25,67,9,31,9,17,15,37,10,6,3,3,12,68
"3875",444,"texasamcc",24,53,10,26,5,7,8,39,13,15,2,2,18,63
"2524",445,"nebraska",35,71,7,26,13,23,13,45,16,11,5,3,19,90
"3543",445,"southdakotast",29,70,3,21,12,18,14,44,7,13,5,4,20,73
"310",446,"boisest",17,55,4,21,22,29,8,29,9,13,9,2,14,60
"4066",446,"ucirvine",29,59,5,17,6,8,7,39,16,18,5,3,28,69
"465",447,"cal",32,56,6,11,12,14,9,38,15,15,4,4,16,82
"478",447,"calbaptist",20,60,8,31,14,14,10,27,10,13,3,2,15,62
"4073",448,"ucla",24,49,10,23,13,16,9,35,11,17,8,5,11,71
"4193",448,"unlv",22,57,7,23,3,4,9,27,5,15,4,2,15,54
"1460",449,"hawaii",30,59,11,20,12,17,10,36,19,18,2,1,21,83
"3061",449,"portlandst",27,69,5,17,16,24,17,36,8,14,10,1,20,75
"1539",450,"howard",26,57,6,21,7,14,11,29,15,13,3,1,17,65
"3216",450,"robertmorris",32,55,9,17,12,20,9,32,19,10,4,1,16,85
"113",451,"appalachianst",21,61,3,19,11,16,12,41,8,14,4,0,16,56
"2336",451,"montanast",23,53,4,16,9,16,6,38,12,16,7,4,21,59
"1549",452,"idaho",26,56,7,21,9,10,10,40,13,17,2,2,13,68
"4401",452,"vmi",26,63,8,30,7,8,7,28,20,10,8,3,12,67
"1733",453,"jacksonville",30,61,12,25,8,13,12,36,16,11,5,2,17,80
"4119",453,"umasslowell",28,62,10,30,12,17,13,35,18,8,2,0,13,78
"2482",454,"ncgreensboro",27,62,7,26,3,13,11,41,15,11,14,6,10,64
"3840",454,"tennesseetech",11,49,3,22,5,9,10,39,3,27,3,2,11,30
"1417",455,"hampton",26,69,3,13,10,14,12,31,8,8,7,4,17,65
"4569",455,"williammary",30,55,9,19,9,16,8,42,16,15,3,8,16,78
"812",456,"coppinst",23,62,10,37,13,20,7,33,9,17,7,3,28,69
"2743",456,"northernillinois",24,61,7,23,26,34,15,51,10,20,5,3,16,81
"3525",457,"southdakota",34,59,16,23,4,7,7,39,27,15,1,4,16,88
"3912",457,"texassouthern",26,67,6,15,11,12,8,27,9,7,6,1,13,69
"3240",458,"sacramentost",21,47,3,7,17,24,8,30,11,10,6,3,18,62
"4090",458,"ucriverside",16,49,2,15,15,17,13,37,3,18,3,0,24,49
"2121",459,"maryland",30,57,8,26,12,17,9,40,19,13,10,6,17,80
"2854",459,"oakland",19,52,6,21,6,15,9,30,11,19,8,2,15,50
"783",460,"columbia",16,56,6,21,4,6,12,36,7,14,4,4,13,42
"4384",460,"virginia",24,59,5,15,7,14,14,42,10,9,8,9,9,60
"2867",461,"ohio",23,58,3,20,5,10,10,42,11,16,2,1,20,54
"4364",461,"villanova",23,59,14,31,18,23,6,36,18,5,7,1,15,78
"90",462,"alcornst",19,63,5,27,13,23,11,36,7,26,10,4,30,56
"2168",462,"memphis",37,64,4,16,24,45,15,50,18,19,12,6,22,102
"3802",463,"tennessee",25,53,6,13,19,24,6,32,19,14,9,6,14,75
"4447",463,"washington",26,65,5,18,5,10,15,42,15,17,8,4,21,62
"2047",464,"lsu",28,56,3,18,16,23,16,45,12,25,7,5,13,75
"2619",464,"nichollsst",24,62,8,26,9,11,10,27,12,20,11,2,20,65
"755",465,"colorado",23,56,11,24,14,21,14,40,13,15,11,4,12,71
"3300",465,"sandiego",19,55,7,26,8,10,9,33,10,19,9,4,20,53
"3110",466,"providence",24,54,3,14,17,24,11,34,17,16,10,3,17,68
"3758",466,"stpeters",15,48,3,16,14,19,12,36,7,24,11,4,21,47
"660",467,"chicagost",18,49,6,19,7,11,7,22,11,17,2,1,17,49
"3117",467,"purdue",35,70,11,36,12,17,23,48,24,8,7,5,10,93
"156",468,"arkansas",20,54,4,20,20,26,14,37,9,13,11,2,18,64
"2330",468,"montana",18,56,2,16,8,14,15,39,10,23,5,5,22,46
"1019",469,"eastcarolina",20,52,5,15,12,22,11,32,10,10,7,4,20,57
"1896",469,"liberty",26,55,11,23,14,19,12,39,16,10,4,3,19,77
"3692",470,"stjohns",20,58,5,19,23,35,18,50,6,16,7,6,16,68
"4354",470,"vermont",27,67,8,31,8,12,11,37,14,11,8,3,25,70
"837",471,"creighton",27,58,13,29,15,22,7,35,15,10,7,3,14,82
"1981",471,"louisianatech",30,68,8,28,4,11,14,43,12,12,8,1,20,72
"611",472,"charlestonsouthern",25,61,7,16,4,6,11,24,15,18,8,2,14,61
"875",472,"dayton",37,61,9,24,7,9,12,39,27,17,7,2,10,90
"2497",473,"ncst",36,73,3,16,20,28,17,48,15,12,9,3,18,95
"3656",473,"stfrancisny",25,66,4,15,10,17,15,39,7,20,5,5,21,64
"572",474,"centralconnecticutst",16,48,4,14,7,12,8,27,10,24,7,4,20,43
"2143",474,"massachusetts",32,61,10,22,15,21,14,41,15,12,13,6,16,89
"2729",475,"northerncolorado",27,60,9,24,9,15,6,37,9,17,7,0,12,72
"2762",475,"northerniowa",30,63,5,15,12,17,6,36,6,12,6,0,14,77
"1311",476,"georgewashington",17,50,7,31,23,32,3,22,10,10,5,5,19,64
"2364",476,"morganst",25,65,2,14,16,21,17,45,11,13,6,4,25,68
"2700",477,"northeastern",24,51,11,22,10,12,6,26,12,18,7,3,16,69
"2911",477,"olddominion",30,59,4,15,12,20,14,36,8,12,12,3,17,76
"828",478,"cornell",21,57,6,27,6,12,12,29,10,14,10,0,13,54
"932",478,"depaul",29,58,6,21,11,16,14,42,15,14,10,7,15,75
"1886",479,"lehigh",21,53,7,22,4,5,8,28,14,19,5,1,9,53
"4399",479,"virginiatech",31,65,14,37,3,4,12,36,19,10,8,4,8,79
"3214",480,"robertmorris",23,68,8,26,2,5,14,42,17,9,7,2,18,56
"3944",480,"toledo",24,52,9,20,13,21,7,41,17,10,5,2,9,70
"272",481,"belmont",33,62,15,26,19,22,12,36,21,14,6,2,16,100
"338",481,"bostoncollege",33,59,8,18,11,13,3,22,18,12,7,1,15,85
"1863",482,"lasalle",23,63,15,37,4,9,15,41,17,17,8,5,23,65
"3792",482,"temple",21,56,7,21,21,29,15,42,12,15,12,6,13,70
"2821",483,"northwesternst",20,57,8,31,4,11,6,33,10,21,5,1,24,52
"3985",483,"tulane",23,56,9,20,24,35,13,46,18,15,14,2,11,79
"2187",484,"miamifl",30,72,12,26,8,9,10,45,12,9,6,5,12,80
"3139",484,"quinnipiac",20,63,5,30,7,10,8,41,9,12,3,4,12,52
"2628",485,"njit",28,55,10,23,22,32,8,34,17,4,4,3,15,88
"4417",485,"wagner",23,60,6,21,17,21,8,31,15,7,2,1,24,69
"592",486,"centralmichigan",22,58,7,25,33,46,11,43,9,15,8,4,18,84
"3277",486,"samhoustonst",28,64,8,20,13,18,8,38,15,17,12,2,34,77
"1999",487,"loyolachicago",35,62,4,14,11,18,5,30,19,12,12,2,15,85
"3685",487,"stjoes",22,56,12,34,12,19,14,40,14,24,7,2,17,68
"430",488,"buffalo",31,69,13,26,13,15,14,39,20,13,6,6,27,88
"1436",488,"harvard",24,65,6,23,22,29,20,45,13,17,6,9,17,76
"3816",489,"tennesseemartin",22,57,12,31,6,10,7,27,10,17,4,1,12,62
"4548",489,"wichitast",40,71,15,28,8,10,12,43,29,9,8,2,15,103
"235",490,"austinpeay",20,51,8,25,17,21,8,33,10,17,9,3,17,65
"4000",490,"tulsa",26,56,5,18,15,21,10,36,19,12,12,2,16,72
"321",491,"boston",31,57,6,21,16,24,8,34,13,9,7,1,16,84
"2566",491,"newhampshire",24,53,10,22,12,16,6,30,17,16,2,1,20,70
"1057",492,"easternmichigan",20,49,5,20,11,16,10,31,10,14,13,4,15,56
"2797",492,"northtexas",18,48,8,20,7,9,10,34,9,19,6,4,19,51
"3213",493,"riogrande",21,58,4,11,12,14,10,30,8,12,6,1,21,58
"3746",493,"stonybrook",21,43,10,21,17,25,7,36,11,20,8,3,12,69
"892",494,"delaware",34,60,3,14,10,12,8,24,7,8,8,3,11,81
"1837",494,"lafayette",29,56,11,25,4,5,10,29,18,18,3,4,14,73
"3172",495,"rice",28,53,13,25,13,18,6,31,17,13,4,1,16,82
"4099",495,"ucsb",34,61,6,15,7,11,6,29,21,11,6,1,14,81
"2157",496,"mcneesest",28,55,13,29,11,14,6,27,24,22,7,7,25,80
"2574",496,"newmexico",28,59,8,20,26,35,14,38,22,15,17,2,15,90
"975",497,"drexel",20,40,5,14,22,30,4,26,11,30,6,1,20,67
"3632",497,"stephenfaustin",29,61,5,18,19,25,12,35,15,22,17,5,25,82
"3382",498,"seattle",23,62,8,25,13,14,9,30,14,13,8,0,26,67
"3774",498,"syracuse",28,47,9,23,24,36,5,36,18,14,8,4,16,89
"868",499,"davidson",33,60,13,26,8,11,9,39,16,10,4,1,11,87
"2512",499,"ncwilmington",19,51,8,24,3,8,5,24,11,17,4,1,14,49
"1280",500,"georgemason",32,73,8,28,11,14,13,49,14,9,5,10,16,83
"1751",500,"jamesmadison",24,72,7,32,15,18,14,44,14,12,7,2,18,70
"1806",501,"kentst",25,55,8,22,14,20,10,38,12,17,7,3,19,72
"4613",501,"wrightst",26,62,8,23,11,17,11,34,11,13,5,2,18,71
"408",502,"bucknell",27,55,15,30,12,15,17,38,14,24,7,2,18,81
"549",502,"canisius",34,57,6,14,9,21,8,21,15,12,10,1,13,83
"88",503,"albany",15,53,5,24,16,21,10,38,11,12,3,5,20,51
"2077",503,"manhattan",20,55,6,20,11,19,11,43,10,10,4,3,22,57
"100",504,"american",28,57,13,23,7,9,10,33,12,12,4,6,17,76
"3668",504,"stfrancispa",29,58,7,13,14,19,10,30,8,8,8,0,11,79
"1693",505,"ipfw",28,59,16,35,7,13,12,36,20,12,9,2,10,79
"3652",505,"stetson",22,54,5,18,6,7,8,28,10,15,9,0,16,55
"1711",506,"jacksonst",25,65,6,27,7,10,13,26,13,13,13,7,20,63
"3459",506,"someth",23,45,9,18,25,27,9,37,17,19,6,6,11,80
"2699",507,"northdakotast",20,51,8,26,9,10,6,31,12,9,6,2,10,57
"3879",507,"texasamcc",16,48,8,20,5,8,9,34,9,16,2,1,11,45
"3234",508,"rutgers",24,56,7,25,19,30,20,39,18,13,4,5,16,74
"3614",508,"stbonaventure",29,59,11,24,11,13,12,31,16,11,6,2,25,80
"433",509,"butler",29,52,6,16,16,19,4,34,19,8,2,3,15,80
"4598",509,"wofford",22,57,5,27,12,18,7,27,9,10,5,3,19,61
"1625",510,"indiana",35,65,9,23,21,30,15,51,21,12,11,6,25,100
"3976",510,"troy",20,63,5,25,17,31,16,38,13,16,7,3,25,62
"3306",511,"sanfrancisco",30,61,11,32,5,7,14,39,15,14,7,3,19,76
"3568",511,"southernillinois",22,48,5,14,11,16,5,23,9,14,6,3,8,60
"182",512,"arkansaspinebluff",22,56,3,14,7,14,11,35,9,16,13,2,17,54
"1402",512,"grandcanyon",24,51,5,20,14,19,6,33,20,15,6,1,15,67
"6",513,"abilenechristian",20,50,5,18,24,33,10,32,9,16,10,0,20,69
"3008",513,"pepperdine",23,51,7,21,20,23,6,30,9,17,9,1,22,73
"2958",514,"oregonst",27,55,8,22,21,26,5,34,9,12,4,3,19,83
"4631",514,"wyoming",20,48,5,24,18,20,1,27,8,15,4,0,23,63
"770",515,"coloradost",21,49,8,24,24,32,10,32,14,14,7,1,18,74
"2019",515,"loyolamarymount",27,56,4,20,6,13,10,29,15,18,6,3,26,64
"3333",516,"santaclara",21,55,6,21,16,21,7,31,14,17,4,1,26,64
"3607",516,"stanford",26,52,4,10,26,35,9,38,13,13,8,2,20,82
"2552",517,"nevada",20,61,11,36,15,17,9,37,14,11,4,2,19,66
"4200",517,"usc",29,65,5,18,13,20,11,42,18,8,2,2,18,76
"53",518,"alabamaam",23,58,8,22,9,10,4,31,10,9,4,2,16,63
"2208",518,"miamioh",29,68,15,37,6,10,15,47,20,9,5,5,14,79
"539",519,"campbell",34,62,10,26,9,13,6,31,18,13,11,2,18,87
"680",519,"citadel",26,57,2,18,19,29,9,29,10,14,8,1,12,73
"852",520,"dartmouth",14,52,7,32,2,4,8,34,6,15,2,1,15,37
"1732",520,"jacksonville",22,50,4,18,9,17,6,37,13,8,5,3,8,57
"1608",521,"incarnateword",20,53,9,24,6,11,10,35,15,18,6,7,14,55
"3450",521,"siuedwardsville",22,61,5,18,8,12,15,42,13,14,6,4,18,57
"117",522,"appalachianst",24,44,6,15,15,19,8,30,10,15,10,5,10,69
"3844",522,"tennesseetech",18,47,10,24,1,2,8,23,11,22,6,1,15,47
"302",523,"binghamton",29,77,11,33,7,13,14,42,12,6,5,3,14,76
"3251",523,"sacredheart",27,67,9,30,9,17,16,53,10,14,2,2,14,72
"2355",524,"moreheadst",31,60,4,16,10,20,12,42,16,16,9,1,14,76
"4138",524,"umes",20,54,8,28,5,11,6,29,10,20,9,7,19,53
"2345",525,"montanast",21,40,7,14,18,23,3,34,12,21,6,1,13,67
"2480",525,"ncgreensboro",25,69,11,38,5,10,13,29,14,9,12,5,21,66
"1217",526,"fordham",19,49,7,18,13,19,13,47,13,14,8,3,20,58
"2086",526,"marist",14,52,6,21,7,15,11,31,9,12,9,0,20,41
"2668",527,"northalabama",24,57,4,23,9,17,12,38,17,14,10,3,23,61
"3267",527,"samford",20,51,5,12,10,21,13,41,6,18,2,2,16,55
"362",528,"bradley",22,58,2,13,19,25,10,37,11,8,7,1,9,65
"1580",528,"illinoischicago",21,54,11,33,3,5,7,37,13,20,5,3,18,56
"2059",529,"maine",25,56,5,17,7,14,8,28,14,12,6,2,17,62
"3043",529,"portland",28,51,3,12,12,16,6,29,17,11,6,2,14,71
"1986",530,"louisville",30,45,10,21,17,25,5,31,20,11,3,2,22,87
"2461",530,"nccentral",19,57,6,26,14,25,15,28,9,10,5,0,22,58
"3422",531,"setonhall",26,65,10,29,21,26,14,46,18,10,6,5,26,83
"3717",531,"stlouis",19,53,5,14,23,41,11,38,10,11,6,5,18,66
"2937",532,"oregon",27,59,8,20,5,8,8,46,10,10,4,5,16,67
"3894",532,"texasarlington",15,64,6,30,11,16,13,36,7,6,3,2,8,47
"787",533,"connecticut",21,59,4,22,16,22,12,38,11,9,7,4,14,62
"1157",533,"florida",22,55,5,20,10,13,8,37,9,13,4,3,21,59
"483",534,"calpoly",21,52,2,9,4,12,7,24,7,15,6,1,15,48
"3734",534,"stmarys",28,52,10,22,13,16,7,36,14,13,7,2,15,79
"126",535,"arizona",30,57,10,21,13,15,7,33,13,12,6,6,17,83
"2646",535,"nmsu",18,55,9,30,8,13,13,32,9,20,2,1,17,53
"1747",536,"jacksonvillest",24,63,4,19,13,19,14,36,7,21,10,2,11,65
"4337",536,"vcu",38,66,11,26,6,7,7,36,23,16,11,13,21,93
"2097",537,"marquette",19,51,9,19,14,17,5,29,9,15,2,3,16,61
"4583",537,"wisconsin",24,56,11,23,18,20,9,37,11,12,6,3,19,77
"2271",538,"mississippist",31,61,5,20,15,24,18,45,20,14,6,4,14,82
"2598",538,"neworleans",22,58,2,11,13,15,9,27,10,12,9,3,21,59
"1290",539,"georgetown",24,60,3,18,40,51,20,39,14,14,3,4,20,91
"1346",539,"georgiast",29,60,5,13,20,24,11,33,12,18,9,2,33,83
"1537",540,"howard",25,64,7,20,11,15,15,30,10,16,5,2,33,68
"3948",540,"toledo",34,57,9,18,35,44,14,40,17,10,6,5,15,112
"2690",541,"northdakotast",22,64,8,30,5,9,12,39,10,9,6,4,16,57
"3742",541,"stonybrook",22,54,9,21,11,11,5,37,9,12,1,4,14,64
"1595",542,"illinoisst",28,61,6,20,3,4,12,35,16,17,8,3,21,65
"4047",542,"ucf",24,58,6,23,13,19,14,35,12,18,8,7,10,67
"2901",543,"oklahomast",26,65,4,19,8,15,12,38,10,11,12,2,12,64
"4664",543,"yale",21,55,9,31,6,9,10,42,13,22,5,4,16,57
"198",544,"arkansasst",31,59,4,12,16,23,12,39,22,7,4,5,17,82
"1547",544,"idaho",27,54,4,16,10,17,6,28,21,8,5,3,21,68
"2677",545,"northdakota",24,52,5,15,7,12,6,33,15,20,5,4,14,60
"4316",545,"valparaiso",30,68,8,24,6,13,15,38,20,11,11,3,13,74
"693",546,"clemson",31,65,11,33,14,21,15,39,20,14,10,2,21,87
"943",546,"detroit",19,59,7,24,20,22,16,38,8,18,9,1,17,65
"170",547,"arkansaslittlerock",26,61,6,18,18,24,19,48,12,14,6,2,27,76
"569",547,"centralarkansas",13,51,8,25,22,30,13,35,7,18,5,10,19,56
"519",548,"calstnorthridge",20,55,5,18,17,21,12,30,9,14,4,1,12,62
"3182",548,"richmond",34,62,15,30,7,9,11,37,22,11,6,3,21,90
"1562",549,"idahost",23,53,6,21,9,12,12,36,10,20,4,4,14,61
"4457",549,"washingtonst",28,64,3,17,13,16,13,31,10,7,9,3,15,72
"253",550,"ballst",23,52,6,23,17,24,10,41,14,12,4,6,15,69
"1641",550,"indianast",22,54,5,13,6,13,6,28,14,10,3,1,18,55
"143",551,"arizonast",35,82,10,32,12,20,15,45,15,7,16,6,18,92
"3203",551,"rider",23,60,3,21,6,14,12,47,10,29,7,3,22,55
"2973",552,"pacific",22,51,4,10,10,17,6,35,13,6,7,4,13,58
"4087",552,"ucriverside",19,54,8,23,5,9,5,30,9,11,4,4,16,51
"634",553,"charlotte",22,56,5,12,18,22,9,41,16,15,10,4,16,67
"4429",553,"wakeforest",24,64,10,25,7,12,11,39,13,15,8,10,14,65
"1117",554,"fairfiield",28,57,4,17,15,17,8,33,14,21,9,2,23,75
"2030",554,"loyolamd",29,51,7,21,19,30,4,24,23,15,10,0,17,84
"4038",555,"ucdavis",28,64,7,24,21,28,10,43,20,15,6,3,21,84
"4406",555,"vmi",27,73,11,29,24,27,15,44,24,10,11,4,22,89
"2340",556,"montanast",19,47,5,20,9,11,5,32,9,15,9,0,11,52
"3836",556,"tennesseetech",15,58,3,24,6,7,15,39,2,16,7,3,9,39
"816",557,"coppinst",26,66,5,26,13,20,14,39,8,14,6,2,18,70
"2764",557,"northernkentucky",30,63,14,35,8,16,13,44,21,16,8,4,16,82
"849",558,"dartmouth",27,57,11,24,15,24,6,33,17,14,6,2,19,80
"4114",558,"umasslowell",27,57,8,26,13,20,8,38,13,17,7,2,22,75
"3211",559,"riogrande",19,51,5,16,12,16,7,25,8,8,7,7,19,55
"3887",559,"texasamcc",20,52,6,16,17,24,17,45,10,13,6,1,13,63
"619",560,"charlestonsouthern",19,68,2,24,6,8,12,28,9,12,8,1,22,46
"2227",560,"michiganst",36,64,4,17,18,25,15,54,31,12,6,8,13,94
"1825",561,"kentucky",25,57,1,12,31,34,13,43,11,14,2,2,13,82
"4249",561,"utahvalleyst",26,65,11,32,11,18,8,24,14,7,4,5,23,74
"2880",562,"ohiost",30,66,10,27,16,19,16,48,19,9,5,9,18,86
"3650",562,"stetson",16,57,8,22,11,19,16,37,5,17,4,1,15,51
"4223",563,"utahst",34,73,9,31,5,7,17,55,17,16,5,6,9,82
"4273",563,"utsa",20,70,7,30,3,4,12,36,5,15,9,4,14,50
"218",564,"auburn",35,66,10,28,11,15,11,41,14,10,7,9,14,91
"741",564,"colgate",26,65,5,24,5,7,11,33,7,11,7,0,14,62
"747",565,"colorado",24,61,9,19,12,17,9,32,14,7,10,2,8,69
"4055",565,"ucirvine",21,53,7,14,4,4,9,41,10,22,6,7,17,53
"1102",566,"evansville",17,48,7,25,16,18,3,25,9,11,6,2,13,57
"3457",566,"someth",22,59,5,21,10,12,17,47,7,18,4,2,21,59
"2887",567,"oklahoma",28,67,3,18,16,20,5,35,12,4,7,3,9,75
"4555",567,"williammary",28,60,10,30,4,5,3,40,13,14,2,0,19,70
"2731",568,"northerncolorado",20,53,8,30,13,17,7,24,12,12,8,2,20,61
"4541",568,"westvirginia",26,54,4,9,13,19,15,42,12,15,7,2,15,69
"2281",569,"missouri",28,51,9,23,10,14,5,23,15,10,7,2,16,75
"4606",569,"wofford",17,47,6,22,16,18,10,31,8,16,3,2,19,56
"729",570,"coastalcarolina",31,68,7,21,24,34,14,45,12,9,12,4,18,93
"2397",570,"mtsu",25,63,11,26,11,18,10,38,16,18,7,3,23,72
"2312",571,"monmouth",19,51,5,18,7,8,7,23,13,15,8,5,22,50
"3019",571,"pittsburgh",19,48,4,16,21,26,10,32,13,15,4,3,12,63
"1429",572,"hartford",19,58,8,24,4,8,6,29,13,13,12,1,25,50
"2849",572,"oakland",20,48,3,16,17,27,11,45,10,15,9,2,13,60
"209",573,"army",32,59,13,24,4,8,9,38,22,14,6,1,12,81
"1127",573,"fairleighdickinson",24,62,9,29,8,11,10,30,6,11,7,5,8,65
"899",574,"delawarest",31,70,6,23,16,22,9,36,12,12,6,2,21,84
"1931",574,"longisland",31,60,12,28,18,23,3,34,17,11,6,7,17,92
"36",575,"akron",23,54,6,19,24,34,14,46,11,12,4,6,14,76
"3350",575,"scupstate",18,67,5,16,4,13,19,42,3,11,2,3,26,45
"2836",576,"notredame",21,51,10,26,11,18,8,33,15,10,5,4,9,63
"3086",576,"presbyterian",23,55,5,21,2,4,8,33,11,12,6,2,16,53
"280",577,"belmont",35,71,13,32,7,11,11,47,21,11,10,6,11,90
"1474",577,"highpoint",19,58,5,19,8,12,7,33,8,19,6,4,16,51
"1723",578,"jacksonst",21,58,5,18,11,15,10,26,11,11,10,4,18,58
"3916",578,"texasst",24,49,7,16,18,23,13,41,14,18,5,2,11,73
"1449",579,"hawaii",24,64,3,22,2,3,5,26,9,9,7,2,18,53
"1576",579,"illinois",23,54,5,12,15,23,11,44,14,16,3,3,8,66
"16",580,"airforce",20,47,6,20,8,11,5,28,15,19,3,3,15,54
"3785",580,"tcu",25,59,7,25,8,11,13,38,15,10,10,3,13,65
"466",581,"cal",17,44,6,15,14,21,9,35,8,22,4,1,17,54
"3066",581,"prairieviewam",22,59,2,14,4,9,13,35,10,16,8,4,22,50
"7",582,"abilenechristian",22,59,7,26,7,9,13,31,16,12,6,1,17,58
"4188",582,"unlv",27,50,6,22,12,15,7,32,14,12,4,4,13,72
"3578",583,"southernutah",20,56,5,19,16,23,9,35,8,17,8,2,28,61
"4070",583,"ucla",24,56,3,11,25,39,13,42,13,15,11,10,22,76
"395",584,"bryant",25,66,9,37,14,16,15,52,11,14,7,2,13,73
"2608",584,"niagara",27,70,4,18,4,8,10,35,6,10,6,1,14,62
"120",585,"appalachianst",16,55,5,18,4,18,14,46,4,15,6,6,10,41
"2473",585,"ncgreensboro",22,67,9,29,2,6,15,47,11,12,9,7,18,55
"1936",586,"longwood",16,57,7,29,9,12,9,30,7,17,7,2,20,48
"2746",586,"northernillinois",21,54,8,26,15,19,13,47,10,19,10,5,16,65
"3448",587,"siuedwardsville",21,56,4,14,10,13,4,28,9,11,5,2,23,56
"3520",587,"southdakota",24,51,5,17,18,25,7,36,13,11,2,1,15,71
"1096",588,"etsu",23,60,9,30,8,15,11,33,12,16,11,4,19,63
"1764",588,"kansas",30,54,1,14,14,18,5,33,19,15,14,8,16,75
"1112",589,"fairfiield",18,51,12,25,7,8,7,31,13,16,6,5,21,55
"2133",589,"maryland",26,59,8,21,14,25,16,43,13,8,6,6,13,74
"4346",590,"vermont",20,52,12,34,3,3,7,29,12,13,5,1,16,55
"4374",590,"virginia",23,49,8,23,7,11,5,30,11,10,4,3,12,61
"1370",591,"gonzaga",25,64,5,22,17,30,12,45,10,6,7,1,13,72
"3890",591,"texasarlington",21,53,11,26,13,17,1,33,13,10,4,5,20,66
"2060",592,"maine",21,51,9,27,2,4,6,35,18,20,2,2,17,53
"4451",592,"washington",28,60,3,15,13,20,9,32,14,6,11,4,8,72
"2043",593,"lsu",29,59,5,24,14,22,13,49,14,15,9,3,16,77
"4129",593,"umbc",19,61,5,33,7,16,10,31,10,11,4,2,18,50
"1895",594,"liberty",17,49,7,22,14,17,3,27,8,4,7,4,14,55
"2428",594,"navy",14,44,4,24,16,22,10,41,6,12,2,1,14,48
"160",595,"arkansas",31,71,6,26,14,18,11,36,13,10,13,10,14,82
"3913",595,"texassouthern",19,55,2,11,11,19,12,39,8,24,4,6,20,51
"2587",596,"newmexico",19,49,5,19,20,31,9,36,7,18,7,2,14,63
"4253",596,"utep",24,56,7,28,11,13,6,31,14,16,9,2,21,66
"3009",597,"pepperdine",30,64,9,22,15,18,9,28,5,12,8,1,22,84
"4201",597,"usc",28,59,7,20,28,34,13,38,22,14,6,5,14,91
"873",598,"dayton",37,64,10,27,9,15,11,32,21,10,6,5,11,93
"2541",598,"nebraskaomaha",27,59,8,18,6,11,11,31,10,15,6,1,13,68
"410",599,"bucknell",30,70,7,27,3,5,10,28,13,14,5,1,19,70
"2979",599,"pennst",39,65,5,16,15,23,12,40,15,11,8,6,9,98
"1281",600,"georgemason",16,58,7,20,26,36,23,51,10,10,2,1,19,65
"2038",600,"loyolamd",25,54,5,22,6,20,8,32,14,7,3,4,27,61
"329",601,"boston",27,64,9,25,15,22,12,38,15,11,7,2,17,78
"3492",601,"southcarolina",27,67,4,22,12,21,16,42,14,13,6,5,16,70
"2469",602,"nccentral",20,49,5,13,15,18,8,28,10,12,4,6,16,60
"4670",602,"youngstownst",24,62,5,22,13,15,18,42,8,11,7,5,15,66
"2613",603,"nichollsst",28,67,4,19,5,7,12,37,8,15,9,0,20,65
"3162",603,"rhodeisland",24,57,3,16,19,23,10,37,14,16,9,3,13,70
"96",604,"alcornst",24,58,8,15,8,10,6,30,12,14,6,3,8,64
"2491",604,"ncst",36,67,10,26,5,7,9,36,17,12,9,5,12,87
"713",605,"clevelandst",17,64,6,22,21,26,11,32,10,13,10,2,19,61
"1200",605,"floridainternational",39,73,19,36,10,16,15,52,27,14,8,8,20,107
"858",606,"davidson",33,60,12,26,13,16,8,24,19,8,9,3,14,91
"2549",606,"nevada",28,50,5,15,10,14,9,30,8,21,4,0,15,71
"602",607,"charleston",30,62,3,14,13,22,8,37,8,13,9,3,20,76
"2118",607,"marshall",23,61,5,19,15,28,15,43,8,18,7,10,20,66
"1839",608,"lafayette",32,59,11,22,11,15,4,26,17,5,8,2,8,86
"2993",608,"pennsylvania",28,61,11,33,8,10,12,36,17,12,3,1,14,75
"1696",609,"ipfw",26,60,9,20,7,9,6,35,15,15,4,4,19,68
"1811",609,"kentst",27,64,10,29,11,16,9,36,17,11,9,7,11,75
"1495",610,"holycross",17,57,2,27,8,12,9,24,7,17,7,6,14,44
"2702",610,"northeastern",39,65,16,29,7,9,11,42,23,14,13,3,11,101
"2264",611,"mississippi",21,49,4,17,19,22,11,39,15,16,7,1,18,65
"3376",611,"seattle",16,56,4,17,16,18,12,31,7,12,6,3,17,52
"2074",612,"manhattan",22,60,5,21,8,14,14,32,13,15,9,3,24,57
"3263",612,"samford",21,47,7,17,21,27,6,28,14,15,3,4,13,70
