"","Game.","Team","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","TR","AST","TO","STL","BLK","PF","PTS"
"3344",40,"scupstate",20,56,6,20,9,15,8,31,5,12,3,3,23,55
"324",41,"boston",27,55,8,26,5,12,7,30,11,15,5,4,15,67
"2703",41,"northeastern",28,55,5,16,11,14,5,31,10,12,10,1,18,72
"402",42,"bucknell",22,55,10,23,14,17,4,30,14,13,4,5,20,68
"1120",42,"fairfiield",24,59,2,12,14,20,10,37,9,12,3,3,16,64
"1888",43,"lehigh",24,60,8,17,6,9,10,39,11,17,6,3,16,62
"2310",43,"monmouth",24,59,8,19,10,16,11,38,16,16,7,6,12,66
"642",44,"chattanooga",22,68,9,25,15,17,14,34,11,20,8,0,22,68
"1044",44,"easternkentucky",27,52,6,14,19,25,7,40,10,24,6,7,21,79
"700",45,"clemson",22,64,7,29,9,15,8,36,9,8,4,2,16,60
"4390",45,"virginiatech",22,57,9,27,14,20,9,44,11,13,4,1,15,67
"1317",46,"georgia",31,66,8,26,21,32,15,52,15,15,9,7,26,91
"4485",46,"westerncarolina",26,73,9,34,11,20,14,41,11,12,3,3,25,72
"112",47,"american",28,54,6,18,18,28,5,26,7,12,5,1,17,80
"3434",47,"siena",35,67,11,21,15,18,13,41,17,13,4,0,23,96
"2859",48,"ohio",24,51,8,22,9,16,8,30,17,12,10,2,18,65
"3613",48,"stbonaventure",20,55,3,19,10,15,16,37,11,16,4,2,21,53
"1137",49,"fgc",24,52,12,27,7,9,9,28,16,18,4,5,16,67
"3708",49,"stlouis",34,71,11,27,10,18,21,41,16,9,10,5,16,89
"184",50,"arkansaspinebluff",13,45,4,12,11,19,5,30,5,21,4,3,21,41
"3592",50,"southflorida",20,54,7,21,23,35,12,39,11,13,9,5,22,70
"979",51,"drexel",24,69,6,30,8,11,16,46,17,17,9,6,14,62
"3790",51,"temple",28,65,5,15,9,13,8,39,14,11,11,5,14,70
"2540",52,"nebraskaomaha",22,56,5,19,5,10,7,39,10,14,4,2,10,54
"4546",52,"wichitast",26,71,11,31,5,12,15,44,15,7,8,7,14,68
"1674",53,"iowast",45,87,13,35,7,11,15,49,32,10,15,7,8,110
"2418",53,"mvsu",30,73,11,29,3,8,11,40,13,21,3,0,9,74
"1783",54,"kansasst",26,61,6,21,9,14,7,39,14,6,5,4,16,67
"2691",54,"northdakotast",15,52,8,30,16,25,8,39,10,8,4,1,18,54
"2730",55,"northerncolorado",15,55,2,21,13,22,14,37,3,16,4,2,9,45
"3860",55,"texas",29,64,7,27,4,5,13,40,9,15,4,4,19,69
"714",56,"clevelandst",19,55,3,19,9,11,5,24,10,16,7,2,17,50
"2250",56,"minnesota",31,57,13,29,10,14,10,40,26,17,5,8,13,85
"1997",57,"loyolachicago",35,63,4,16,8,10,8,40,20,8,7,1,11,82
"4029",57,"ucdavis",21,57,3,17,3,8,6,27,9,14,3,3,12,48
"157",58,"arkansas",37,67,10,25,7,11,10,45,19,21,14,5,16,91
"3175",58,"rice",16,56,2,25,9,15,6,27,7,27,9,2,16,43
"3839",59,"tennesseetech",26,58,8,26,4,6,10,30,12,19,8,2,21,64
"4515",59,"westernkentucky",26,52,5,15,19,26,9,32,12,16,8,5,9,76
"778",60,"columbia",23,61,5,19,12,16,9,27,6,11,6,1,10,63
"1833",60,"lafayette",26,50,8,20,5,5,6,37,13,22,6,7,16,65
"3956",61,"toledo",26,53,11,28,14,17,8,31,16,20,7,3,19,77
"4313",61,"valparaiso",31,71,6,21,11,14,18,40,20,14,10,3,19,79
"167",62,"arkansaslittlerock",27,52,3,14,10,15,11,32,17,13,7,3,19,67
"2298",62,"missourist",23,54,8,28,12,18,10,26,10,10,7,3,15,66
"1743",63,"jacksonvillest",23,56,7,22,12,16,13,37,12,19,7,3,19,65
"3455",63,"someth",26,60,5,21,17,25,17,39,15,13,7,2,16,74
"3206",64,"riogrande",21,70,3,13,12,17,12,39,4,8,5,5,21,57
"3531",64,"southdakotast",27,59,4,17,12,21,10,50,14,12,4,1,16,70
"52",65,"alabamaam",24,66,8,25,10,19,13,31,7,14,6,0,17,66
"3832",65,"tennesseest",41,62,17,34,7,16,7,42,25,16,6,7,21,106
"2761",66,"northerniowa",19,55,6,31,14,24,11,38,9,14,4,3,14,58
"2920",66,"olddominion",21,59,3,12,8,15,13,44,5,14,12,1,24,53
