"","Game","Team1Score","Team2Score","Margin","Team1Win","Team2Win","Team1Cover","Team2Cover","Total","Over","Under","OverTeam1Cover","OverTeam2Cover","UnderTeam1Cover","UnderTeam2Cover","OverTeam1Win","OverTeam2Win","UnderTeam1Win","UnderTeam2Win","GameTotal","GameSpread","Team1WinPayout","Team2WinPayout"
"1","ballst-akron",66.5174004432782,82.5336881879923,16.0162877447141,0.15478,0.84522,0.21398,0.78602,149.05108863127,0.718702,0.281298,0.152565,0.566137,0.061415,0.219883,0.111841,0.606861,0.042939,0.238359,136.5,3.5,150,-160
"2","manhattan-fairfiield",49.8714239617774,49.3865808679263,-0.484843093851094,0.51355,0.48645,0.587901,0.412099,99.2580048297037,0.149165,0.850835,0.100085,0.04908,0.487816,0.363019,0.090946,0.058219,0.422604,0.428231,113.5,2,120,-130
"3","maryland-iowa",71.3763646117971,82.8298873924139,11.4535227806167,0.187614,0.812386,0.148737,0.851263,154.206252004211,0.655186,0.344814,0.102749,0.552437,0.045988,0.298826,0.128194,0.526992,0.05942,0.285394,146,-2,-125,115
"4","wrightst-iupui",78.1485011703263,68.1770025463532,-9.97149862397312,0.784108,0.215892,0.500501,0.499499,146.32550371668,0.286274,0.713726,0.153253,0.133021,0.347248,0.366478,0.225737,0.060537,0.558371,0.155355,155.5,-10,-570,480
"5","buffalo-miamioh",73.917992703339,77.3086063354772,3.39061363213821,0.409374,0.590626,0.383008,0.616992,151.226599038816,0.344451,0.655549,0.127804,0.216647,0.255204,0.400345,0.136043,0.208408,0.273331,0.382218,158,-1,-113,103
"6","canisius-monmouth",58.8342847372296,68.504705409128,9.67042067189835,0.226007,0.773993,0.345357,0.654643,127.338990146358,0.186702,0.813298,0.063915,0.122787,0.281442,0.531856,0.044229,0.142473,0.181778,0.63152,142,4.5,175,-190
"7","pennsylvania-princeton",72.2238479573754,78.5757779301632,6.35192997278781,0.332662,0.667338,0.297428,0.702572,150.799625887539,0.574694,0.425306,0.188191,0.386503,0.109237,0.316069,0.208203,0.366491,0.124459,0.300847,146,-1.5,-120,110
"8","butler-providence",65.2409267957277,59.7195319447109,-5.52139485101674,0.678203,0.321797,0.630964,0.369036,124.960458740439,0.437222,0.562778,0.294883,0.142339,0.336081,0.226697,0.313175,0.124047,0.365028,0.19775,126.5,-1.5,-118,108
"9","niagara-quinnipiac",64.2779987741061,82.2819045068198,18.0039057327137,0.117128,0.882872,0.258139,0.741861,146.559903280926,0.465068,0.534932,0.093448,0.37162,0.164691,0.370241,0.041937,0.423131,0.075191,0.459741,147,8,340,-380
"10","iona-rider",66.4862167045562,76.1090379632713,9.62282125871504,0.244495,0.755505,0.396956,0.603044,142.595254667828,0.271935,0.728065,0.124248,0.147687,0.272708,0.455357,0.08401,0.187925,0.160485,0.56758,153,6,225,-245
"11","northernkentucky-illinoischicago",59.2851095551664,60.0295541343834,0.744444579217023,0.47447,0.52553,0.504696,0.495304,119.31466368955,0.145088,0.854912,0.079157,0.065931,0.425539,0.429373,0.075472,0.069616,0.398998,0.455914,137,1,-118,108
"12","northernkentucky-illinoischicago",59.2851095551664,60.0295541343834,0.744444579217023,0.47447,0.52553,0.504696,0.495304,119.31466368955,0.145088,0.854912,0.079157,0.065931,0.425539,0.429373,0.075472,0.069616,0.398998,0.455914,137,1,-118,108
