"","Game","Team1Score","Team2Score","Margin","Team1Win","Team2Win","Team1Cover","Team2Cover","Total","Over","Under","OverTeam1Cover","OverTeam2Cover","UnderTeam1Cover","UnderTeam2Cover","OverTeam1Win","OverTeam2Win","UnderTeam1Win","UnderTeam2Win","GameTotal","GameSpread","Team1WinPayout","Team2WinPayout"
"1","southalabama-arkansaslittlerock",67.2913608665905,63.7927148613172,-3.4986460052733,0.615864,0.384136,0.708782,0.291218,131.084075727908,0.30614,0.69386,0.220598,0.085542,0.488184,0.205676,0.194979,0.111161,0.420885,0.272975,138.5,3,140,-150
"2","troy-arkansasst",57.35881217464,71.8125962124642,14.4537840378241,0.119584,0.880416,0.207474,0.792526,129.171408387104,0.252392,0.747608,0.061797,0.190595,0.145677,0.601931,0.038973,0.213419,0.080611,0.666997,139.5,4.5,175,-190
"3","georgia-auburn",77.53283574558,88.6643447279957,11.1315089824157,0.21865,0.78135,0.480965,0.519035,166.197180473576,0.790627,0.209373,0.383782,0.406845,0.097183,0.11219,0.178697,0.61193,0.039953,0.16942,149.5,10.5,510,-615
"4","georgiatech-bostoncollege",55.9648882682228,58.3517917078297,2.3869034396069,0.423161,0.576839,0.299372,0.700628,114.316679976053,0.131522,0.868478,0.04687,0.084652,0.252502,0.615976,0.061192,0.07033,0.361969,0.506509,132,-4,-173,163
"5","southernillinois-bradley",55.1741623207103,65.6216536379218,10.4474913172115,0.176189,0.823811,0.377545,0.622455,120.795815958632,0.382018,0.617982,0.157597,0.224421,0.219948,0.398034,0.081331,0.300687,0.094858,0.523124,124.5,7,265,-295
"6","portland-byu",55.7896024030045,77.8791389095822,22.0895365065776,0.038238,0.961762,0.387357,0.612643,133.668741312587,0.366955,0.633045,0.131113,0.235842,0.256244,0.376801,0.015237,0.351718,0.023001,0.610044,138.5,18.5,1900,-2550
"7","calstnorthridge-calpoly",65.6546942670045,61.718735703316,-3.93595856368845,0.626905,0.373095,0.433976,0.566024,127.37342997032,0.167617,0.832383,0.079365,0.088252,0.354611,0.477772,0.107691,0.059926,0.519214,0.313169,143,-6,-255,235
"8","washington-cal",63.5888153009202,56.5231208851827,-7.06569441573749,0.725057,0.274943,0.517522,0.482478,120.111936186103,0.242056,0.757944,0.138493,0.103563,0.379029,0.378915,0.181911,0.060145,0.543146,0.214798,130.5,-6.5,-265,245
"9","cincinnati-ucf",63.0593368325986,70.7296327193938,7.67029588679525,0.261419,0.738581,0.198389,0.801611,133.788969551992,0.471027,0.528973,0.098041,0.372986,0.100348,0.428625,0.12665,0.344377,0.134769,0.394204,134,-2.5,-145,135
"10","olddominion-charlotte",48.8767590409065,63.5337437321379,14.6569846912314,0.087641,0.912359,0.130972,0.869028,112.410502773044,0.392914,0.607086,0.04565,0.347264,0.085322,0.521764,0.031258,0.361656,0.056383,0.550703,115.5,2.5,130,-140
"11","samford-chattanooga",60.64708081446,68.5528932277986,7.90581241333862,0.264904,0.735096,0.424252,0.575748,129.199974042259,0.21378,0.78622,0.085096,0.128684,0.339156,0.447064,0.055394,0.158386,0.20951,0.57671,142,5.5,210,-230
"12","oakland-clevelandst",56.1547613841347,56.7542859311114,0.599524546976648,0.478159,0.521841,0.372945,0.627055,112.909047315246,0.1204,0.8796,0.049329,0.071071,0.323616,0.555984,0.06091,0.05949,0.417249,0.462351,130.5,-3,-150,140
"13","stjoes-davidson",53.2942790076109,71.1962879679517,17.9020089603408,0.107134,0.892866,0.407006,0.592994,124.490566975563,0.124032,0.875968,0.041056,0.082976,0.36595,0.510018,0.012973,0.111059,0.094161,0.781807,145.5,14.5,1100,-1400
"14","massachusetts-dayton",59.6740422900867,87.174950520251,27.5009082301643,0.026693,0.973307,0.272458,0.727542,146.848992810338,0.474593,0.525407,0.110704,0.363889,0.161754,0.363653,0.011256,0.463337,0.015437,0.50997,147,19,2050,-2750
"15","wakeforest-duke",67.1632121056305,88.154723206308,20.9915111006775,0.052855,0.947145,0.456649,0.543351,155.317935311939,0.679419,0.320581,0.300778,0.378641,0.155871,0.16471,0.036992,0.642427,0.015863,0.304718,146,19.5,2175,-2875
"16","someth-eastcarolina",77.4974421725914,66.5403639473136,-10.9570782252778,0.80597,0.19403,0.605557,0.394443,144.037806119905,0.443204,0.556796,0.29765,0.145554,0.307907,0.248889,0.373238,0.069966,0.432732,0.124064,145.5,-7.5,-315,285
"17","vmi-etsu",64.6691758335709,71.7066014889909,7.03742565542004,0.304504,0.695496,0.794601,0.205399,136.375777322562,0.418028,0.581972,0.338653,0.079375,0.455948,0.126024,0.155476,0.262552,0.149028,0.432944,139,19,2050,-2750
"18","siuedwardsville-easternkentucky",60.5871804542968,61.9125697940475,1.32538933975068,0.458468,0.541532,0.599736,0.400264,122.499750248344,0.063929,0.936071,0.039391,0.024538,0.560345,0.375726,0.031985,0.031944,0.426483,0.509588,149,4.5,175,-190
"19","ncgreensboro-furman",61.3392069533385,74.4559818106572,13.1167748573187,0.178373,0.821627,0.272661,0.727339,135.795188763996,0.527894,0.472106,0.125595,0.402299,0.147066,0.32504,0.081945,0.445949,0.096428,0.375678,133.5,4.5,170,-185
"20","duquesne-georgewashington",69.7246777372247,66.0480735018588,-3.67660423536591,0.612967,0.387033,0.398972,0.601028,135.772751239084,0.438658,0.561342,0.190413,0.248245,0.208559,0.352783,0.278937,0.159721,0.33403,0.227312,137.5,-7,-295,265
"21","louisianalafayette-georgiasouthern",67.195711185465,73.1105948453139,5.91488365984882,0.334144,0.665856,0.657993,0.342007,140.306306030779,0.319023,0.680977,0.208121,0.110902,0.449872,0.231105,0.113229,0.205794,0.220915,0.460062,148,11.5,600,-750
"22","louisianamonroe-georgiast",59.0096988365888,72.5763870062331,13.5666881696444,0.135456,0.864544,0.419885,0.580115,131.586085842822,0.290728,0.709272,0.121402,0.169326,0.298483,0.410789,0.044325,0.246403,0.091131,0.618141,140,11,540,-660
"23","rutgers-illinois",68.2623703330494,75.601549085896,7.33917875284656,0.272186,0.727814,0.421581,0.578419,143.863919418945,0.701885,0.298115,0.304872,0.397013,0.116709,0.181406,0.201654,0.500231,0.070532,0.227583,134,5,190,-210
"24","ohiost-indiana",68.9473083531278,68.0634188939707,-0.883889459157079,0.524053,0.475947,0.459628,0.540372,137.010727247098,0.628148,0.371852,0.311302,0.316846,0.148326,0.223526,0.349869,0.278279,0.174184,0.197668,130.5,-2,-130,120
"25","illinoisst-indianast",56.9348059966838,75.414107214661,18.4793012179772,0.070499,0.929501,0.190639,0.809361,132.348913211345,0.277868,0.722132,0.051422,0.226446,0.139217,0.582915,0.021434,0.256434,0.049065,0.673067,141.5,7.5,295,-325
"26","oklahoma-iowast",71.7207968627425,79.7147174046346,7.9939205418921,0.273587,0.726413,0.36797,0.63203,151.435514267377,0.50904,0.49096,0.18761,0.32143,0.18036,0.3106,0.141421,0.367619,0.132166,0.358794,150,3.5,150,-160
"27","southdakotast-ipfw",72.9552503164502,81.505327862035,8.55007754558478,0.274275,0.725725,0.229766,0.770234,154.460578178485,0.709886,0.290114,0.159102,0.550784,0.070664,0.21945,0.18919,0.520696,0.085085,0.205029,143,-2,-130,120
"28","austinpeay-jacksonvillest",68.8280517891822,65.022815970143,-3.80523581903918,0.622602,0.377398,0.590906,0.409094,133.850867759325,0.249949,0.750051,0.149642,0.100307,0.441264,0.308787,0.156704,0.093245,0.465898,0.284153,144.5,-1,-113,103
"29","drexel-jamesmadison",63.5863896175563,71.3407755670707,7.75438594951438,0.282226,0.717774,0.375183,0.624817,134.927165184627,0.165803,0.834197,0.068768,0.097035,0.306415,0.527782,0.054513,0.11129,0.227713,0.606484,152,3.5,155,-165
"30","baylor-kansas",66.1969717404854,77.5345525507621,11.3375808102767,0.183935,0.816065,0.395005,0.604995,143.731524291248,0.756593,0.243407,0.287554,0.469039,0.107451,0.135956,0.134455,0.622138,0.04948,0.193927,131,8,315,-345
"31","centralmichigan-kentst",82.7254843914657,89.8721055111227,7.14662111965698,0.313238,0.686762,0.549139,0.450861,172.597589902588,0.757517,0.242483,0.417731,0.339786,0.131408,0.111075,0.242568,0.514949,0.07067,0.171813,157.5,9,400,-450
"32","alabama-kentucky",78.5124716141231,86.8376148779353,8.32514326381211,0.282616,0.717384,0.538541,0.461459,165.350086492058,0.711914,0.288086,0.401294,0.31062,0.137247,0.150839,0.221889,0.490025,0.060727,0.227359,153,10,475,-560
"33","georgemason-lasalle",58.1192443391816,62.315560929864,4.19631659068237,0.36303,0.63697,0.478155,0.521845,120.434805269046,0.189988,0.810012,0.089182,0.100806,0.388973,0.421039,0.070077,0.119911,0.292953,0.517059,134,3.5,155,-165
"34","evansville-loyolachicago",64.4724820879026,68.6338900411969,4.16140795329436,0.371011,0.628989,0.703711,0.296289,133.106372129099,0.491623,0.508377,0.341743,0.14988,0.361968,0.146409,0.188281,0.303342,0.18273,0.325647,132.5,11,540,-660
"35","gonzaga-loyolamarymount",80.9965525966121,65.5186048812761,-15.477947715336,0.883819,0.116181,0.402253,0.597747,146.515157477888,0.567537,0.432463,0.249814,0.317723,0.152439,0.280024,0.50391,0.063627,0.379909,0.052554,142.5,-18.5,-2550,1900
"36","mississippist-lsu",66.9667959425212,74.0599821040823,7.09318616156107,0.285007,0.714993,0.528719,0.471281,141.026778046603,0.38859,0.61141,0.197273,0.191317,0.331446,0.279964,0.109991,0.278599,0.175016,0.436394,145,8,328,-365
"37","westernkentucky-mtsu",71.1501279616903,65.1051232692253,-6.04500469246505,0.673279,0.326721,0.534157,0.465843,136.255251230916,0.245158,0.754842,0.1259,0.119258,0.408257,0.346585,0.156388,0.08877,0.516891,0.237951,148,-5,-215,195
"38","arkansas-mississippi",64.8089684012254,68.2266775725181,3.41770917129273,0.394967,0.605033,0.335641,0.664359,133.035645973743,0.333653,0.666347,0.12685,0.206803,0.208791,0.457556,0.145879,0.187774,0.249088,0.417259,139.5,-2,-130,120
"39","florida-missouri",64.7762605036004,61.8422060885152,-2.93405441508521,0.60163,0.39837,0.49791,0.50209,126.618466592116,0.416072,0.583928,0.207612,0.20846,0.290298,0.29363,0.247759,0.168313,0.353871,0.230057,129,-3,-145,135
"40","northerniowa-missourist",63.7535029010432,59.1059296740122,-4.64757322703103,0.651392,0.348608,0.603156,0.396844,122.859432575055,0.363361,0.636639,0.236301,0.12706,0.366855,0.269784,0.251615,0.111746,0.399777,0.236862,127.5,-1.5,-120,110
"41","portlandst-montanast",67.989832615391,66.5435898324042,-1.44624278298682,0.546875,0.453125,0.578836,0.421164,134.533422447795,0.274635,0.725365,0.154666,0.119969,0.42417,0.301195,0.14665,0.127985,0.400225,0.32514,144,1,103,-113
"42","easternillinois-moreheadst",69.5563162052068,65.9469443673045,-3.60937183790235,0.616959,0.383041,0.664014,0.335986,135.503260572511,0.288935,0.711065,0.199619,0.089316,0.464395,0.24667,0.187567,0.101368,0.429392,0.281673,144,1.5,110,-120
"43","airforce-newmexico",76.6780149916697,84.5547610274818,7.87674603581214,0.285756,0.714244,0.497286,0.502714,161.232776019152,0.60262,0.39738,0.312452,0.290168,0.184834,0.212546,0.188513,0.414107,0.097243,0.300137,155,8,320,-355
"44","umkc-nmsu",52.79650392633,74.0921307318765,21.2956268055465,0.031373,0.968627,0.337192,0.662808,126.888634658206,0.449431,0.550569,0.138467,0.310964,0.198725,0.351844,0.014566,0.434865,0.016807,0.533762,128,16.5,1300,-1650
"45","clemson-unc",59.1951630450483,66.3410079011631,7.14584485611471,0.282747,0.717253,0.413636,0.586364,125.536170946211,0.27016,0.72984,0.132461,0.137699,0.281175,0.448665,0.098007,0.172153,0.18474,0.5451,135,4.5,175,-190
"46","floridaatlantic-northtexas",58.1162598156982,63.6339904317681,5.51773061606996,0.334516,0.665484,0.562981,0.437019,121.750250247466,0.333539,0.666461,0.175927,0.157612,0.387054,0.279407,0.107102,0.226437,0.227414,0.439047,128,7.5,295,-325
"47","idahost-northernarizona",55.5523930585648,67.173462023929,11.6210689653642,0.171426,0.828574,0.353988,0.646012,122.725855082494,0.231645,0.768355,0.083181,0.148464,0.270807,0.497548,0.044117,0.187528,0.127309,0.641046,134,7,265,-295
"48","easternmichigan-northernillinois",50.0971047572211,63.4029351493079,13.3058303920868,0.128088,0.871912,0.281627,0.718373,113.500039906529,0.274008,0.725992,0.08015,0.193858,0.201477,0.524515,0.040565,0.233443,0.087523,0.638469,122,6.5,245,-265
"49","nebraska-northwestern",63.9707644654909,70.0552584959927,6.08449403050184,0.319647,0.680353,0.46714,0.53286,134.026022961484,0.234888,0.765112,0.108174,0.126714,0.358966,0.406146,0.077358,0.15753,0.242289,0.522823,146,5,190,-210
"50","louisville-notredame",66.506757370407,72.779862856125,6.27310548571801,0.317294,0.682706,0.240838,0.759162,139.286620226532,0.551085,0.448915,0.117524,0.433561,0.123314,0.325601,0.155876,0.395209,0.161418,0.287497,136,-3,-150,140
"51","bowlinggreen-ohio",64.3722386460743,71.1065969784535,6.73435833237925,0.312649,0.687351,0.274561,0.725439,135.478835624528,0.273596,0.726404,0.069081,0.204515,0.20548,0.520924,0.077972,0.195624,0.234677,0.491727,145.5,-1.5,-120,110
"52","northdakota-oralroberts",65.0052931961789,84.8537484615954,19.8484552654165,0.074952,0.925048,0.194631,0.805369,149.859041657774,0.419978,0.580022,0.081264,0.338714,0.113367,0.466655,0.033603,0.386375,0.041349,0.538673,152.5,8,328,-365
"53","arizonast-oregon",59.804085776287,81.8859837364106,22.0818979601235,0.038132,0.961868,0.175653,0.824347,141.690069512698,0.471241,0.528759,0.074589,0.396652,0.101064,0.427695,0.017653,0.453588,0.020479,0.50828,142,10.5,510,-615
"54","sanfrancisco-pacific",66.219562520489,69.9564745133153,3.73691199282622,0.377092,0.622908,0.331296,0.668704,136.176037033804,0.503635,0.496365,0.184082,0.319553,0.147214,0.349151,0.206323,0.297312,0.170769,0.325596,135,-1.5,-118,108
"55","wisconsin-pennst",66.7274286781015,75.6940743566648,8.9666456785633,0.23806,0.76194,0.331268,0.668732,142.421503034766,0.647261,0.352739,0.222352,0.424909,0.108916,0.243823,0.162682,0.484579,0.075378,0.277361,135,3.5,150,-160
"56","floridainternational-rice",68.4820822141134,73.553526641655,5.07144442754155,0.371573,0.628427,0.408898,0.591102,142.035608855768,0.195015,0.804985,0.075443,0.119572,0.333455,0.47153,0.069069,0.125946,0.302504,0.502481,158.5,1.5,110,-120
"57","stlouis-richmond",59.6534900052554,75.346948282466,15.6934582772106,0.107227,0.892773,0.211098,0.788902,135.000438287721,0.489101,0.510899,0.084503,0.404598,0.126595,0.384304,0.042604,0.446497,0.064623,0.446276,134.5,5.5,210,-230
"58","weberst-sacramentost",56.5759657011458,63.438895073098,6.86292937195226,0.277527,0.722473,0.435943,0.564057,120.014860774244,0.489462,0.510538,0.227469,0.261993,0.208474,0.302064,0.152093,0.337369,0.125434,0.385104,119.5,5,185,-200
