"","Game","Team1Score","Team2Score","Margin","Team1Win","Team2Win","Team1Cover","Team2Cover","Total","Over","Under","OverTeam1Cover","OverTeam2Cover","UnderTeam1Cover","UnderTeam2Cover","OverTeam1Win","OverTeam2Win","UnderTeam1Win","UnderTeam2Win","GameTotal","GameSpread","Team1WinPayout","Team2WinPayout"
"1","fairfiield-canisius",55.7996390714767,64.9550256050364,9.1553865335597,0.223371,0.776629,0.335676,0.664324,120.754664676513,0.247581,0.752419,0.080183,0.167398,0.255493,0.496926,0.055663,0.191918,0.167708,0.584711,131,4,167,-178
"2","oregonst-colorado",78.4867639108612,72.0339650791878,-6.45279883167342,0.684627,0.315373,0.850115,0.149885,150.520728990049,0.718991,0.281009,0.616166,0.102825,0.233949,0.04706,0.503045,0.215946,0.181582,0.099427,139,7.5,305,-335
"3","wrightst-detroit",78.3986480034127,67.0177140792614,-11.3809339241513,0.78515,0.21485,0.580012,0.419988,145.416362082674,0.300504,0.699496,0.16775,0.132754,0.412262,0.287234,0.226241,0.074263,0.558909,0.140587,154.5,-8.5,-355,320
"4","davidson-duquesne",70.8448059992357,75.4156481823498,4.57084218311413,0.375217,0.624783,0.465205,0.534795,146.260454181585,0.719892,0.280108,0.355897,0.363995,0.109308,0.1708,0.29165,0.428242,0.083567,0.196541,134,3.5,150,-160
"5","lasalle-fordham",57.4212975568575,54.0078970967975,-3.41340046005997,0.612785,0.387215,0.544444,0.455556,111.429194653655,0.269762,0.730238,0.164388,0.105374,0.380056,0.350182,0.180014,0.089748,0.432771,0.297467,120,-2,-130,120
"6","vcu-georgemason",70.3298481654755,67.1698961347945,-3.15995203068107,0.604686,0.395314,0.387371,0.612629,137.49974430027,0.722407,0.277593,0.295456,0.426951,0.091915,0.185678,0.447811,0.274596,0.156875,0.120718,127,-6.5,-290,260
"7","stbonaventure-georgewashington",64.4238490920923,62.5230244627106,-1.90082462938166,0.565097,0.434903,0.431289,0.568711,126.946873554803,0.324247,0.675753,0.145727,0.17852,0.285562,0.390191,0.184946,0.139301,0.380151,0.295602,133.5,-4,-165,155
"8","purdue-illinois",59.5309452313146,72.6918081102282,13.1608628789135,0.133449,0.866551,0.173136,0.826864,132.222753341543,0.543533,0.456467,0.100544,0.442989,0.072592,0.383875,0.079014,0.464519,0.054435,0.402032,129.5,2,115,-125
"9","michigan-michiganst",84.8591704509682,87.1786238480457,2.31945339707748,0.432767,0.567233,0.701983,0.298017,172.037794299014,0.913927,0.086073,0.650159,0.263768,0.051824,0.034249,0.406942,0.506985,0.025825,0.060248,144,10.5,390,-440
"10","northwestern-minnesota",65.7913134364147,72.3120727239159,6.52075928750124,0.307464,0.692536,0.57761,0.42239,138.103386160331,0.49054,0.50946,0.280444,0.210096,0.297166,0.212294,0.155078,0.335462,0.152386,0.357074,137.5,9,340,-380
