Game.,Team,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,TR,AST,TO,STL,BLK,PF,PTS
1,bryant,20,62,4,29,10,17,13,29,10,18,8,1,24,54
1,indiana,30,54,8,21,29,34,11,46,16,17,12,6,16,97
2,maryland,25,75,3,19,16,21,28,54,17,11,6,5,23,69
2,kentucky,24,56,6,13,18,28,13,38,12,12,5,11,16,72
3,miamioh,20,69,7,26,12,19,17,37,12,11,7,2,22,59
3,ncst,35,57,8,19,19,27,8,44,23,11,6,6,14,97
4,SEMS,18,62,4,16,15,20,12,37,6,12,8,2,20,55
4,kansas,24,62,2,21,24,28,14,49,12,13,5,10,18,74
5,georgiast,19,51,5,14,12,17,10,33,4,16,7,0,21,55
5,duke,24,47,11,24,15,23,6,31,17,15,4,6,19,74
6,gardnerwebb,22,55,6,22,9,14,9,32,11,22,11,5,19,59
6,unc,33,71,1,12,9,19,22,48,14,18,12,2,11,76
7,indianast,19,60,5,26,16,26,17,33,10,15,10,2,27,59
7,ucla,27,56,4,16,28,41,21,52,17,16,5,5,19,86
8,michiganst,24,64,4,17,10,13,20,43,9,15,9,3,15,62
8,connecticut,25,54,6,13,10,13,7,29,13,12,11,10,12,66
9,northtexas,22,69,2,16,5,10,18,38,11,12,6,2,20,51
9,creighton,24,48,5,18,18,22,7,39,14,13,4,6,12,71
10,lehigh,28,75,8,21,13,18,18,32,9,9,8,2,18,77
10,baylor,40,62,6,20,13,20,12,44,28,16,4,6,18,99
11,southernutah,27,55,4,17,7,11,8,33,8,28,4,6,22,65
11,gonzaga,40,73,6,13,17,30,15,36,18,9,18,1,13,103
12,southalabama,21,50,9,15,25,32,10,34,12,19,8,4,26,76
12,floridast,22,53,5,21,22,32,12,35,9,17,8,1,21,71
13,FGC,20,44,4,13,13,21,8,29,13,25,8,4,15,57
13,VCU,32,73,8,30,8,14,22,43,22,14,20,3,20,80
14,fresnost,21,59,5,19,6,11,13,32,8,7,6,5,19,53
14,texas,18,49,1,13,18,24,15,43,3,13,2,7,14,55
15,Scupstate,25,47,6,11,3,6,4,21,15,15,5,3,20,59
15,stlouis,27,52,3,12,19,22,11,30,13,9,8,0,13,76
16,kennesawst,24,52,5,16,14,25,15,31,9,12,4,2,23,67
16,tennessee,26,43,7,12,17,28,8,29,17,13,7,6,22,76
17,ucdavis,23,55,7,16,12,19,16,43,11,21,6,0,21,65
17,oklahomast,23,57,8,22,19,24,9,29,14,9,10,6,18,73
18,northdakota,19,63,2,18,12,17,13,35,7,19,11,2,25,52
18,kansasst,29,66,7,24,20,28,18,48,16,14,8,5,18,85
19,stetson,28,63,13,31,10,14,8,30,20,11,6,1,21,79
19,miamifl,32,61,7,21,16,24,12,39,19,11,4,1,13,87
20,drexel,22,60,7,23,11,16,16,44,12,16,2,2,24,62
20,kentst,20,57,6,22,20,31,16,42,9,12,4,6,20,66
21,georgiasouthern,16,39,4,13,18,25,10,23,8,21,7,2,20,54
21,valparaiso,27,51,13,24,18,21,14,31,19,14,14,1,17,85
22,sanfrancisco,23,59,7,20,9,15,13,45,6,15,3,1,22,62
22,stanford,26,55,7,15,15,23,3,29,15,6,6,2,18,74
23,oralroberts,18,48,5,13,8,12,11,35,11,20,6,5,16,49
23,utep,30,64,1,7,8,14,15,36,18,7,11,6,15,69
24,montana,20,44,7,17,18,23,2,21,9,13,3,2,33,65
24,coloradost,20,53,1,8,31,41,19,44,7,9,5,0,20,72
25,moreheadst,31,67,9,23,6,8,16,41,13,19,10,3,27,77
25,longisland,25,59,2,16,22,33,16,37,14,16,11,4,11,74
26,mountstmarys,17,47,9,23,5,8,11,19,10,16,5,1,14,48
26,pittsburgh,34,48,1,6,11,16,7,27,17,8,10,6,12,80
27,charlestonsouthern,19,65,8,34,12,18,23,48,9,17,7,4,25,58
27,charlotte,23,59,3,13,19,33,18,44,7,11,9,6,19,68
28,duquesne,22,58,7,28,15,23,20,39,8,13,4,6,13,66
28,albany,28,61,7,19,6,7,14,35,13,12,6,2,22,69
29,bucknell,24,57,2,10,20,25,9,36,12,8,3,1,15,70
29,purdue,28,61,2,16,7,15,10,33,16,9,4,4,20,65
30,tulane,25,59,3,12,8,16,7,23,6,4,4,1,17,61
30,georgiatech,32,57,3,14,12,19,16,47,18,10,3,6,17,79
31,virginia,21,52,8,21,9,15,11,32,12,12,3,1,20,59
31,georgemason,24,44,7,14,8,19,3,26,14,10,5,2,16,63
32,radford,25,66,7,21,10,20,18,35,11,12,12,4,28,67
32,wakeforest,28,44,3,11,20,30,5,34,11,18,8,5,19,79
33,stfrancispa,21,45,7,19,9,14,2,22,8,16,4,1,23,58
33,pennst,17,47,3,24,28,33,13,38,8,17,6,3,23,65
34,jacksonville,23,61,2,14,14,22,15,39,12,21,11,1,26,62
34,georgia,20,49,4,19,24,38,13,40,13,23,13,5,19,68
35,liberty,13,50,4,19,12,18,7,30,6,17,6,1,17,42
35,richmond,29,59,10,28,16,25,14,48,13,13,10,6,18,84
36,bethunecookman,19,51,6,21,11,11,9,30,9,14,1,3,18,55
36,stbonaventure,21,47,6,19,17,25,10,33,15,10,5,6,14,65
37,fairleighdickinson,24,57,10,26,17,23,5,11,13,7,2,1,17,75
37,xavier,43,61,13,21,18,21,12,41,25,9,5,1,16,117
38,umbc,29,64,7,16,10,14,15,39,14,24,14,4,23,75
38,pennsylvania,27,53,8,16,18,27,7,30,17,21,12,2,19,80
39,wofford,22,61,13,35,2,2,9,34,13,13,3,2,24,59
39,colorado,21,47,4,12,28,36,8,38,10,10,5,6,12,74
40,holycross,16,54,8,24,6,11,11,30,12,12,5,2,16,46
40,olddominion,18,46,0,13,9,18,12,43,6,17,3,7,16,45
41,umkc,15,48,3,15,3,15,7,28,6,20,9,1,18,36
41,setonhall,25,51,10,24,15,26,12,44,19,15,11,3,19,75
42,longwood,17,57,2,15,11,19,13,27,9,18,7,2,22,47
42,marshall,29,57,6,14,17,28,18,49,17,19,12,6,18,81
43,akron,21,57,11,33,17,26,15,37,13,18,13,4,21,70
43,coastalcarolina,26,57,6,13,16,25,14,40,12,20,8,2,22,74
44,grambling,12,46,1,13,24,30,10,24,8,16,6,1,19,49
44,clevelandst,34,59,8,16,16,19,12,39,23,13,13,5,22,92
45,belmont,29,58,11,27,20,23,9,34,14,15,16,6,19,89
45,lipscomb,21,54,8,23,10,19,15,36,12,25,8,2,22,60
46,towson,21,57,4,12,12,17,17,32,5,15,7,4,23,58
46,charleston,27,48,4,9,17,29,12,34,11,17,4,6,18,75
47,colgate,20,51,7,23,8,11,4,32,13,17,5,5,15,55
47,illinois,29,74,13,30,4,10,19,47,14,12,5,2,12,75
48,american,9,38,2,7,16,23,13,30,5,22,4,4,19,36
48,minnesota,27,62,4,22,14,21,22,41,17,7,15,10,20,72
49,samhoustonst,28,60,8,23,4,6,13,36,13,19,3,4,25,68
49,arkansas,22,51,3,13,26,32,7,23,16,9,9,8,14,73
50,IPFW,15,52,4,20,16,23,10,35,11,17,10,2,18,50
50,auburn,22,54,3,11,14,21,12,42,10,16,10,3,17,61
51,UCSB,19,51,5,19,20,29,15,41,7,23,6,4,19,63
51,LSU,30,67,10,26,7,20,18,40,15,13,16,4,20,77
52,troy,21,58,10,29,4,7,12,33,12,12,4,2,22,56
52,mississippist,19,43,4,16,11,18,10,34,6,16,5,2,16,53
53,southern,20,66,5,25,14,16,8,33,12,16,9,2,26,59
53,iowast,30,68,7,21,15,28,21,59,12,21,8,9,17,82
54,denver,21,45,6,22,10,13,7,22,14,17,7,4,13,58
54,iona,24,45,6,12,11,12,7,27,15,18,6,4,14,65
55,alabamast,17,47,6,14,13,27,8,32,7,22,2,6,23,53
55,MTSU,33,68,11,27,20,29,17,45,27,7,10,3,23,97
56,louisianatech,20,56,6,22,13,18,15,38,12,15,7,6,22,59
56,texasAM,24,55,5,15,18,24,13,37,12,12,7,2,18,71
57,southdakotast,25,50,8,21,9,12,8,27,8,13,3,2,14,67
57,alabama,25,52,6,21,14,14,8,27,14,12,8,4,16,70
58,niagara,29,76,16,34,9,20,15,37,18,12,13,3,21,83
58,oregonst,38,67,13,24,13,24,13,52,20,17,7,6,15,102
59,riogrande,23,66,5,24,4,8,14,41,7,19,10,4,22,55
59,iowa,31,69,7,16,17,25,18,49,18,13,13,10,12,86
60,MVSU,19,59,5,21,14,24,15,43,7,24,6,1,26,57
60,mississippi,31,78,6,27,25,39,24,54,14,11,13,8,20,93
61,tennesseest,23,68,6,21,14,23,14,40,15,17,8,4,24,66
