Game.,Team,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,TR,AST,TO,STL,BLK,PF,PTS
1,grandcanyon,15,48,7,15,8,16,9,21,8,21,5,3,20,45
1,kentucky,34,70,3,14,14,19,24,51,13,13,8,10,16,85
2,mountstmarys,20,52,7,21,8,12,4,28,8,16,2,0,17,55
2,arizona,31,54,4,16,12,25,7,35,17,8,11,5,11,78
3,northernkentucky,14,53,2,16,1,5,6,28,4,10,5,1,19,31
3,wisconsin,23,47,4,17,12,20,7,42,13,9,3,5,9,62
4,presbyterian,18,52,1,12,7,11,8,21,7,17,6,1,22,44
4,duke,42,69,16,31,13,16,16,46,30,9,12,4,17,113
5,UCSB,23,56,4,19,9,14,7,31,10,15,8,6,23,59
5,kansas,22,53,2,10,23,32,13,42,11,16,8,5,12,69
6,nccentral,18,56,5,17,19,29,11,30,8,14,9,3,24,60
6,unc,27,61,2,11,20,30,16,49,15,14,8,10,24,76
7,williammary,18,57,2,22,7,9,10,38,4,12,2,2,14,45
7,florida,25,53,6,17,12,15,6,39,13,10,8,1,11,68
8,minnesota,22,55,4,18,20,33,9,35,12,18,6,0,32,68
8,louisville,23,50,6,16,29,42,8,37,11,15,11,1,28,81
9,virginia,29,50,5,7,16,21,9,38,12,16,11,7,20,79
9,jamesmadison,15,53,8,26,13,18,12,27,9,18,4,1,15,51
10,northdakotast,17,62,7,29,9,17,11,32,8,11,3,2,20,50
10,texas,30,62,7,22,18,21,12,51,9,10,7,3,16,85
11,NMSU,16,40,4,17,18,31,9,32,9,20,6,3,15,54
11,wichitast,31,63,0,11,9,16,15,37,11,12,11,4,22,71
12,villanova,27,71,8,33,15,24,19,40,16,9,13,3,11,77
12,lehigh,28,51,6,16,4,10,4,33,15,22,6,2,22,66
13,sacramentost,20,56,5,15,13,20,8,28,5,22,7,1,29,58
13,gonzaga,36,66,10,24,22,32,16,48,24,12,12,6,18,104
14,oakland,29,56,9,24,15,20,6,29,21,13,4,0,27,82
14,iowast,30,58,7,16,26,37,10,35,18,8,6,0,17,93
15,tennessee,24,57,4,17,17,33,16,42,12,19,9,4,34,69
15,VCU,25,62,11,29,24,40,23,49,15,18,10,4,28,85
16,calstnorthridge,24,58,2,6,8,15,15,34,11,17,8,3,19,58
16,SDSU,28,56,6,20,17,26,15,37,15,12,11,7,15,79
17,bryant,19,56,7,21,8,12,6,31,7,10,4,2,15,53
17,connecticut,25,54,6,19,10,11,5,39,12,10,5,6,14,66
18,michiganst,25,53,8,19,6,10,8,38,18,15,6,4,13,64
18,navy,24,59,5,17,6,10,8,30,18,10,8,2,17,59
19,UMASSLowell,20,47,7,17,8,12,6,24,12,19,3,1,19,55
19,ohiost,37,60,9,22,9,15,11,35,20,9,8,1,15,92
20,lamar,16,51,5,20,17,30,20,35,8,16,6,3,22,54
20,someth,33,54,5,16,22,27,11,39,22,10,9,7,20,93
21,kennesawst,17,52,5,21,3,6,7,26,11,25,4,2,19,42
21,syracuse,36,75,4,15,13,20,24,55,21,11,15,6,15,89
22,ballst,25,55,10,22,12,13,9,22,10,15,5,4,30,72
22,utah,29,49,6,9,26,40,13,35,14,14,11,5,18,90
23,wofford,21,47,6,17,11,15,9,25,14,16,4,0,20,59
23,stanford,28,53,1,8,17,28,12,33,14,12,4,2,18,74
24,hampton,20,59,4,18,12,17,11,32,10,17,10,1,25,56
24,iowa,29,61,9,21,23,33,18,48,20,14,9,7,14,90
25,drexel,16,55,7,29,9,14,8,34,7,12,5,5,23,48
25,colorado,22,52,4,13,17,24,8,43,10,14,6,3,16,65
26,montanast,28,59,9,21,13,17,9,32,17,22,4,4,30,78
26,ucla,39,68,9,19,26,40,15,39,25,11,17,6,20,113
27,southernutah,20,49,8,20,20,32,15,32,9,24,10,3,31,68
27,kansasst,27,46,10,18,34,48,8,27,19,12,12,3,25,98
28,niagara,12,48,0,14,21,29,11,27,4,11,2,4,18,45
28,pittsburgh,30,57,7,16,11,14,10,38,20,9,3,2,23,78
29,jacksonst,18,64,5,24,17,23,11,35,4,12,4,4,25,58
29,ncst,32,61,8,20,21,32,11,49,16,10,8,7,20,93
30,louisianatech,26,60,8,23,25,40,14,39,9,12,3,7,21,85
30,southern,28,65,6,19,17,30,18,48,7,10,8,3,30,79
31,stfrancispa,12,40,4,16,9,18,7,27,7,21,7,0,14,37
31,cincinnati,21,46,2,14,8,11,7,33,12,17,11,4,18,52
32,grambling,15,53,2,10,8,16,10,24,5,17,7,3,22,40
32,georgewashington,35,63,6,20,16,24,17,49,18,11,10,7,14,92
33,alabamaAM,16,49,7,19,13,18,8,27,10,13,3,3,22,52
33,dayton,24,51,8,20,20,29,13,40,17,11,6,2,19,76
34,SELA,19,60,6,28,11,15,13,40,9,21,6,1,16,55
34,oklahomast,28,63,12,29,15,18,9,40,19,11,15,9,14,83
35,binghamton,13,49,3,17,10,13,10,35,4,19,0,2,18,39
35,notredame,32,58,8,22,10,18,8,37,16,7,14,3,18,82
36,wagner,18,67,3,23,9,18,17,35,5,11,5,3,32,48
36,maryland,24,44,7,14,27,41,10,44,9,14,2,6,19,82
37,georgiasouthern,23,64,9,30,16,20,16,41,15,16,5,2,27,71
37,illinois,23,56,7,19,27,34,9,34,11,9,5,5,20,80
38,LBSU,33,61,13,22,11,20,11,29,15,18,10,3,25,90
38,BYU,28,54,11,24,28,33,9,33,19,17,6,3,22,95
39,moreheadst,21,68,7,22,10,14,18,38,11,6,7,3,25,59
39,unlv,20,48,4,18,16,27,11,42,14,13,2,12,14,60
40,monmouth,17,38,2,9,18,22,5,33,5,23,7,4,31,54
40,westvirginia,18,69,6,29,22,34,30,49,9,12,11,2,17,64
41,mcneesest,13,62,4,21,9,15,11,28,8,10,7,2,19,39
41,baylor,30,58,7,22,13,23,14,55,23,14,7,5,14,80
42,washingtonst,19,54,6,21,8,10,7,37,10,22,5,5,21,52
42,utep,22,63,4,14,17,26,17,46,13,14,11,7,14,65
43,westerncarolina,21,58,9,24,5,10,13,27,12,11,10,4,22,56
43,mississippist,17,37,4,9,28,37,10,39,7,16,5,5,18,66
44,sandiego,20,50,5,19,30,44,11,35,9,14,4,5,33,75
44,boisest,23,49,6,17,29,44,10,36,11,17,0,3,30,81
45,georgia,26,62,5,20,16,21,11,35,16,12,7,5,23,73
45,georgiatech,28,63,7,19,17,27,15,41,13,12,7,5,18,80
46,samford,15,66,3,20,7,11,13,34,9,12,8,2,24,40
46,purdue,26,47,9,21,19,31,8,45,21,16,6,9,16,80
47,northflorida,18,53,10,32,10,16,6,28,9,15,2,5,22,56
47,southcarolina,29,57,4,11,19,26,10,42,19,9,7,3,15,81
48,jacksonvillest,20,54,10,29,5,12,9,35,11,17,7,2,18,55
48,marshall,28,56,8,22,10,14,5,33,19,10,8,2,17,74
49,newhampshire,15,49,6,23,14,20,10,39,11,19,5,1,24,50
49,bostoncollege,19,53,1,19,19,27,10,35,5,11,6,2,17,58
50,floridaAM,16,48,0,7,9,20,12,37,6,24,3,1,26,41
50,clemson,32,66,7,25,15,26,14,40,21,5,8,6,16,86
51,howard,18,63,2,18,11,21,20,43,5,17,10,3,22,49
51,miamifl,27,59,9,23,21,25,13,43,15,13,12,5,20,84
52,umes,13,47,5,22,15,26,14,35,10,15,4,3,26,46
52,virginiatech,24,46,6,14,17,29,7,33,11,6,4,8,21,71
53,ncasheville,20,62,6,26,23,28,8,25,7,12,13,2,30,69
53,wakeforest,22,44,4,12,32,45,12,49,14,24,6,5,24,80
54,MVSU,25,73,5,19,10,21,13,26,9,11,13,1,28,65
54,indiana,39,59,11,23,27,37,15,53,20,19,9,3,17,116
55,morganst,18,58,3,18,9,12,15,34,7,14,8,4,17,48
55,pennst,21,48,5,13,14,23,12,40,10,18,5,4,17,61
56,cornell,21,47,9,18,17,28,6,46,9,16,1,3,21,68
56,georgemason,21,68,7,27,11,21,13,38,11,5,5,4,24,60
57,siena,34,74,5,18,14,22,18,43,21,14,5,2,34,87
57,massachusetts,25,55,6,15,39,52,12,39,15,13,6,7,21,95
58,fairleighdickinson,22,56,6,19,8,13,11,28,14,7,10,0,17,58
58,stjoes,22,55,5,20,8,14,18,44,16,16,4,5,14,57
59,rider,25,57,6,17,2,4,8,28,10,11,3,2,19,58
59,princeton,19,43,9,24,17,20,5,31,13,15,7,4,14,64
60,northernarizona,24,63,8,20,4,12,14,29,12,16,6,1,19,60
60,xavier,36,54,7,19,14,19,5,36,22,16,7,8,18,93
61,njit,17,60,7,25,17,24,8,40,9,13,4,4,25,58
61,stjohns,24,58,2,16,27,36,7,46,13,7,6,4,23,77
62,clevelandst,27,64,10,22,9,13,10,39,19,9,5,3,24,73
62,iona,23,48,10,25,22,37,3,31,16,10,7,3,15,78
63,belmont,24,51,3,15,19,26,11,37,5,21,7,2,24,70
63,wrightst,24,60,5,23,20,32,15,35,10,14,6,4,23,73
64,marist,24,57,12,28,12,12,5,29,12,7,5,5,22,72
64,bucknell,25,60,7,20,18,24,14,41,15,7,4,2,11,75
65,charlestonsouthern,22,67,8,35,14,27,19,54,15,16,10,0,25,66
65,mississippi,19,63,6,30,21,32,16,50,12,17,7,8,24,65
66,american,12,39,3,23,10,12,3,25,10,14,6,5,17,37
66,temple,11,48,5,19,13,18,17,39,7,15,6,3,15,40
67,radford,16,57,1,13,13,17,16,43,7,14,1,2,20,46
67,richmond,23,48,3,15,15,22,4,32,12,8,6,7,17,64
68,army,30,61,13,25,11,17,17,37,18,15,6,4,21,84
68,airforce,31,62,6,19,10,15,16,33,14,18,8,6,21,78
69,northwesternst,21,58,6,33,20,32,11,32,11,18,7,6,21,68
69,texasAM,42,74,8,17,17,27,18,52,26,13,10,5,24,109
70,houstonbaptist,21,51,2,15,14,21,13,40,12,10,2,1,16,58
70,northwestern,23,60,6,22,13,19,15,36,13,5,1,3,17,65
71,houston,29,64,8,21,11,17,12,42,11,17,7,3,22,77
71,murrayst,24,64,6,25,20,27,11,38,18,10,9,4,18,74
72,pacific,26,62,4,19,17,24,12,43,11,11,6,2,29,73
72,westernillinois,23,58,8,27,17,31,10,38,12,9,4,4,20,71
73,texasarlington,25,53,12,20,24,34,9,40,17,19,7,1,20,86
73,bradley,26,68,9,22,14,25,17,41,14,14,11,6,25,75
74,indianast,20,50,3,12,36,46,9,42,7,13,8,2,21,79
74,iupui,21,60,7,21,17,23,11,38,9,16,6,1,30,66
75,umbc,20,48,3,12,14,28,12,35,13,15,9,0,19,57
75,akron,25,53,12,30,12,21,9,34,17,12,7,5,22,74
76,charleston,31,59,11,21,2,4,7,37,20,7,8,4,27,75
76,furman,10,41,2,12,18,35,13,35,2,16,0,1,13,40
77,easternillinois,21,51,6,17,5,5,9,28,13,14,2,1,22,53
77,missourist,20,43,6,12,18,25,8,27,7,9,4,4,14,64
78,ETSU,27,63,8,24,14,23,9,33,7,10,9,3,26,76
78,valparaiso,26,52,10,18,28,43,9,42,12,13,5,6,17,90
79,umkc,20,54,6,14,23,29,15,43,9,15,6,1,18,69
79,missouri,24,63,5,23,8,16,17,38,10,17,10,6,25,61
80,towson,18,50,7,21,11,15,14,34,9,22,2,2,20,54
80,alabama,29,63,7,23,17,19,14,34,17,8,14,9,16,82
81,loyolamd,17,50,9,19,16,23,14,40,9,15,6,5,24,59
81,texastech,23,58,7,18,18,28,15,37,13,7,9,10,21,71
82,centralarkansas,26,56,11,24,14,20,6,28,12,20,4,4,30,77
82,creighton,35,72,9,26,25,30,18,45,17,13,9,2,20,104
83,weberst,19,49,6,18,17,23,12,42,9,20,6,4,22,61
83,utahst,27,58,4,15,14,24,9,29,15,7,12,3,19,72
84,tennesseemartin,22,48,4,13,15,26,12,34,8,19,3,1,19,63
84,marquette,27,56,10,23,15,23,8,25,19,7,12,4,21,79
85,alcornst,18,57,3,15,18,28,13,34,4,10,3,3,15,57
85,cal,37,71,10,24,7,13,15,44,26,8,6,7,21,91
86,chicagost,17,53,3,20,13,23,15,31,7,17,5,3,30,50
86,arizonast,30,49,7,16,19,34,8,34,17,11,7,4,22,86
87,UWMilwaukee,30,59,7,21,6,14,9,32,13,12,7,5,28,73
87,auburn,24,52,7,14,28,39,11,35,9,12,6,1,17,83
88,fresnost,28,59,4,20,14,23,14,28,9,14,11,1,25,74
88,pepperdine,29,51,5,15,26,32,10,35,14,16,7,2,23,89
89,idahost,19,57,5,20,12,21,10,34,11,15,6,2,23,55
89,newmexico,26,59,8,25,19,29,13,44,18,11,3,5,20,79
90,southcarolinast,24,73,5,20,6,13,15,37,9,8,6,0,18,59
90,washington,32,68,3,21,10,17,16,51,16,12,3,8,14,77
91,rice,16,52,8,29,14,15,5,27,10,11,7,2,20,54
91,oregonst,24,54,4,11,15,20,12,44,19,13,5,7,14,67
92,calstfullerton,22,58,9,23,19,28,12,39,12,14,2,2,25,72
92,santaclara,27,55,11,16,24,31,6,36,13,8,6,2,25,89
93,illinoischicago,21,57,5,19,24,29,17,46,7,13,6,2,22,71
93,depaul,27,61,6,28,12,24,12,34,14,8,10,4,22,72
94,arkansaspinebluff,19,53,5,19,14,23,10,28,9,16,11,3,20,57
94,hawaii,31,67,8,24,15,20,18,46,20,17,10,3,19,85
95,coppinst,21,67,12,30,11,20,16,35,10,16,6,6,18,65
95,oregon,41,73,14,23,11,17,16,49,25,11,9,5,17,107
96,texassouthern,18,60,4,25,22,31,18,41,7,14,8,1,15,62
96,easternwashington,32,64,15,34,7,15,14,43,15,15,7,9,23,86
97,centralconnecticutst,19,55,5,15,20,24,10,35,12,8,3,2,23,63
97,fairfiield,22,55,6,20,21,29,11,41,15,7,2,3,20,71
98,vmi,26,58,11,29,3,4,12,31,12,13,3,4,18,66
98,citadel,23,42,2,4,17,22,4,21,10,11,6,1,10,65
99,yale,30,78,7,22,18,23,19,38,11,10,8,3,28,85
99,quinnipiac,32,69,5,19,19,30,22,54,21,16,6,11,22,88
100,columbia,21,48,10,24,4,13,9,34,13,13,7,3,25,56
100,stonybrook,22,54,3,9,10,21,15,37,10,9,5,1,13,57
101,lafayette,25,49,5,13,22,28,11,43,16,14,6,1,21,77
101,robertmorris,13,52,5,22,19,27,13,27,6,11,9,4,24,50
102,savannahst,21,44,2,8,9,20,12,38,13,33,9,6,24,53
102,easternkentucky,25,63,5,26,21,25,15,31,14,14,17,3,19,76
