"","Game","Team1Score","Team2Score","Margin","Team1Win","Team2Win","Team1Cover","Team2Cover","Total","Over","Under","OverTeam1Cover","OverTeam2Cover","UnderTeam1Cover","UnderTeam2Cover","OverTeam1Win","OverTeam2Win","UnderTeam1Win","UnderTeam2Win","GameTotal","GameSpread","Team1WinPayout","Team2WinPayout"
"1","toledo-ballst",74.244204179768,68.4960032224545,-5.74820095731355,0.657254,0.342746,0.695278,0.304722,142.740207402222,0.609326,0.390674,0.418545,0.190781,0.276733,0.113941,0.396281,0.213045,0.260973,0.129701,136.5,1.5,108,-118
"2","kentst-bowlinggreen",77.6249175310111,77.6834158326995,0.0584983016884466,0.497631,0.502369,0.538758,0.461242,155.308333363711,0.655417,0.344583,0.360202,0.295215,0.178556,0.166027,0.33424,0.321177,0.163391,0.181192,146.5,1.5,110,-120
"3","manhattan-canisius",54.7640466856337,69.0005133993166,14.2364667136829,0.130159,0.869841,0.244375,0.755625,123.76456008495,0.344462,0.655538,0.087992,0.25647,0.156383,0.499155,0.050909,0.293553,0.07925,0.576288,129.5,5.5,200,-220
"4","northernkentucky-detroit",64.4300489307446,62.9725223859909,-1.45752654475366,0.540841,0.459159,0.430765,0.569235,127.402571316735,0.191598,0.808402,0.088007,0.103591,0.342758,0.465644,0.106481,0.085117,0.43436,0.374042,143,-4,-195,180
"5","delaware-drexel",70.5567040241126,63.3537519470861,-7.20295207702647,0.707297,0.292703,0.653076,0.346924,133.910455971199,0.234926,0.765074,0.161385,0.073541,0.491691,0.273383,0.172374,0.062552,0.534923,0.230151,146,-2,-130,120
"6","ucf-houston",59.9385219833351,76.4875816496216,16.5490596662866,0.076607,0.923393,0.314915,0.685085,136.426103632957,0.511869,0.488131,0.154897,0.356972,0.160018,0.328113,0.0399,0.471969,0.036707,0.451424,135,11,480,-570
"7","stpeters-iona",56.0848397896293,69.0617453678296,12.9769055782003,0.152393,0.847607,0.377201,0.622799,125.146585157459,0.227908,0.772092,0.081043,0.146865,0.296158,0.475934,0.035789,0.192119,0.116604,0.655488,137,9,390,-440
"8","quinnipiac-marist",68.1777660805568,54.1215035089529,-14.0562625716039,0.854191,0.145809,0.735611,0.264389,122.29926958951,0.316664,0.683336,0.263828,0.052836,0.471783,0.211553,0.288772,0.027892,0.565419,0.117917,129.5,-5.5,-230,210
"9","rutgers-nebraska",73.7961328442274,76.0654319844468,2.26929914021935,0.436267,0.563733,0.27841,0.72159,149.861564828674,0.600501,0.399499,0.178299,0.422202,0.100111,0.299388,0.27054,0.329961,0.165727,0.233772,144,-6,-250,230
"10","fairfiield-niagara",53.2987402686056,61.4572301130552,8.15848984444956,0.238345,0.761655,0.187328,0.812672,114.755970381661,0.1634,0.8366,0.032541,0.130859,0.154787,0.681813,0.040063,0.123337,0.198282,0.638318,129.5,-2,-130,120
"11","wrightst-oakland",69.5549726048716,66.3171063214856,-3.23786628338603,0.604324,0.395676,0.489927,0.510073,135.872078926357,0.371409,0.628591,0.186051,0.185358,0.303876,0.324715,0.225467,0.145942,0.378857,0.249734,140.5,-3.5,-160,150
"12","wisconsin-ohiost",64.9798772124102,73.2153667646363,8.23548955222609,0.260041,0.739959,0.462364,0.537636,138.195243977046,0.76673,0.23327,0.364615,0.402115,0.097749,0.135521,0.211805,0.554925,0.048236,0.185034,125,7,305,-335
"13","georgetown-setonhall",72.9283885842724,83.0578116588208,10.1294230745484,0.232046,0.767954,0.398416,0.601584,155.986200243093,0.644329,0.355671,0.24725,0.397079,0.151166,0.204505,0.145999,0.49833,0.086047,0.269624,148,6.5,240,-260
"14","monmouth-siena",62.6573463081433,76.0672605758268,13.4099142676835,0.151593,0.848407,0.311384,0.688616,138.72460688397,0.41552,0.58448,0.137205,0.278315,0.174179,0.410301,0.072066,0.343454,0.079527,0.504953,141.5,7,260,-290
"15","temple-tulsa",65.4878372510493,76.1276153829519,10.6397781319025,0.202975,0.797025,0.15286,0.84714,141.615452634001,0.559452,0.440548,0.092596,0.466856,0.060264,0.380284,0.12077,0.438682,0.082205,0.358343,138,-2.5,-140,130
"16","iupui-uwmilwaukee",61.9318843887959,76.9397921785787,15.0079077897828,0.13442,0.86558,0.31464,0.68536,138.871676567375,0.356664,0.643336,0.115198,0.241466,0.199442,0.443894,0.054374,0.30229,0.080046,0.56329,144.5,8.5,355,-400
"17","iupui-uwmilwaukee",61.9318843887959,76.9397921785787,15.0079077897828,0.13442,0.86558,0.31464,0.68536,138.871676567375,0.356664,0.643336,0.115198,0.241466,0.199442,0.443894,0.054374,0.30229,0.080046,0.56329,144.5,8.5,355,-400
