Game.,Team,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,TR,AST,TO,STL,BLK,PF,PTS
1,floridainternational,25,68,8,23,14,17,9,29,15,20,14,2,18,72
1,unc,34,61,4,13,16,19,11,44,23,26,10,8,19,88
2,murrayst,26,52,8,21,10,15,11,31,11,17,7,3,24,70
2,cal,24,52,5,12,22,32,10,32,15,12,8,1,14,75
3,alcornst,21,61,7,17,11,20,8,35,7,13,4,5,16,60
3,ohiost,39,73,14,33,8,12,12,47,29,6,8,6,19,100
4,albany,15,55,5,28,8,14,10,39,10,32,12,4,27,43
4,syracuse,29,60,2,17,15,31,12,46,21,21,21,6,16,75
5,nccentral,14,55,4,9,10,18,7,24,9,20,10,3,18,42
5,unc,35,59,5,13,14,19,13,46,29,19,10,9,11,89
6,detroit,20,57,4,18,17,27,11,32,14,15,4,2,21,61
6,cal,29,61,7,17,30,35,14,45,11,10,5,3,20,95
7,robertmorris,22,62,6,23,10,17,12,36,16,28,15,0,22,60
7,syracuse,35,60,13,26,17,25,8,37,26,23,17,14,15,100
8,jamesmadison,16,52,4,22,8,12,5,34,6,16,3,1,14,44
8,ohiost,30,66,4,17,8,12,8,43,13,9,11,4,14,72
9,georgiast,22,59,3,16,6,12,13,37,13,12,5,1,23,53
9,ncst,20,49,3,16,26,35,12,39,12,9,8,4,17,69
10,hofstra,26,71,5,21,8,13,12,37,14,17,7,4,26,65
10,kansas,32,63,11,27,26,40,17,49,20,12,10,9,13,101
11,FGC,21,57,4,20,12,25,9,34,12,17,8,0,29,58
11,michiganst,33,71,8,26,23,37,19,54,21,13,7,3,21,97
12,moreheadst,25,65,4,24,5,12,11,24,11,12,9,2,25,59
12,kentucky,26,52,4,19,19,28,14,43,12,24,3,8,14,75
13,fairleighdickinson,19,48,3,14,20,32,5,35,7,14,4,6,20,61
13,villanova,27,66,9,26,21,31,14,46,16,8,4,5,22,84
14,calstnorthridge,19,49,3,14,23,43,13,42,9,25,5,2,24,64
14,purdue,30,66,9,24,20,30,9,38,24,13,8,6,31,89
15,ncgreensboro,24,60,4,12,10,18,10,26,12,14,5,1,20,62
15,duke,37,62,7,18,15,20,15,44,16,13,8,8,18,96
16,austinpeay,19,55,5,17,11,16,5,33,11,19,2,4,16,54
16,tennessee,34,69,10,23,5,11,12,46,22,14,8,7,17,83
17,williammary,25,60,13,34,3,7,9,34,16,15,7,1,18,66
17,connecticut,29,54,5,16,12,21,9,34,16,10,12,7,10,75
18,wrightst,25,51,4,16,15,21,9,29,12,19,3,2,27,69
18,washington,22,52,3,15,27,35,10,29,11,12,11,2,19,74
19,rider,30,59,10,16,18,28,10,38,14,6,5,2,19,88
19,mississippist,26,62,10,27,12,19,10,37,15,12,2,9,20,74
20,georgetown,28,53,7,17,11,18,9,36,17,15,7,4,18,74
20,tulane,20,49,4,18,14,21,6,25,12,12,8,4,17,58
21,SIUEdwardsville,20,58,7,20,22,23,9,30,10,14,2,0,21,69
21,illinois,36,65,6,18,18,26,13,41,22,9,3,6,20,96
22,presbyterian,16,45,5,15,4,7,6,29,9,26,6,3,11,41
22,clemson,30,70,14,30,10,13,19,43,21,11,19,6,11,84
23,tennesseetech,15,53,5,15,15,18,8,35,12,27,7,0,21,50
23,minnesota,34,63,9,25,10,20,14,39,25,15,15,15,19,87
24,charlestonsouthern,18,61,7,16,8,17,13,43,7,22,6,3,12,51
24,maryland,38,75,6,17,7,9,11,43,27,11,15,5,17,89
25,siena,30,46,5,9,20,30,10,35,16,29,14,2,18,85
25,tennesseest,25,60,8,26,11,18,10,24,14,21,13,2,20,69
26,oralroberts,24,62,4,22,4,11,10,28,12,13,8,1,19,56
26,wakeforest,29,60,5,17,13,22,20,51,14,17,8,2,14,76
27,youngstownst,21,64,1,13,14,22,10,31,13,10,7,1,23,57
27,xavier,23,45,7,17,30,37,6,39,13,16,4,5,22,83
28,alabamaAM,20,55,2,11,8,25,12,36,6,24,9,3,24,50
28,southcarolina,29,64,7,24,23,32,15,43,12,15,9,9,18,88
29,loyolachicago,16,65,8,23,14,23,21,51,12,25,3,2,37,54
29,kansasst,30,60,5,18,27,39,12,41,22,13,10,8,24,92
30,bradley,18,50,7,18,17,26,8,32,12,15,5,3,22,60
30,BYU,22,55,7,19,19,27,13,44,11,11,5,2,24,70
31,northernillinois,20,49,2,18,13,26,9,33,15,17,6,3,33,55
31,northwestern,19,48,5,21,34,48,9,38,13,9,8,2,21,77
32,arkansaslittlerock,21,50,4,9,18,31,7,39,11,22,4,2,20,64
32,mississippi,35,72,9,28,13,21,11,38,19,5,14,5,23,92
33,dartmouth,22,57,1,10,13,19,9,22,7,17,7,1,26,58
33,bostoncollege,30,50,6,11,23,32,9,38,19,19,5,8,19,89
34,wofford,22,52,7,19,9,9,7,30,16,10,2,2,18,60
34,pittsburgh,24,51,4,15,11,19,9,30,14,9,5,6,12,63
35,bethunecookman,17,49,4,11,13,19,9,31,5,19,5,1,20,51
35,VCU,23,50,11,24,20,27,8,37,19,17,11,1,18,77
36,utahst,21,44,4,12,20,23,5,35,5,17,3,2,22,66
36,weberst,21,63,2,20,16,19,13,34,8,11,7,3,23,60
37,harvard,27,52,8,19,25,35,6,34,20,10,4,4,19,87
37,holycross,29,63,5,19,14,19,8,34,19,10,5,3,24,77
38,niagara,24,65,8,28,9,10,12,41,12,17,11,2,24,65
38,auburn,20,57,4,22,25,30,12,39,7,16,8,1,18,69
39,uab,25,57,6,14,12,19,11,41,10,10,4,4,16,68
39,UWGreenBay,22,55,7,16,5,9,8,28,11,13,4,2,22,56
40,bucknell,27,58,11,18,15,22,8,33,14,16,2,0,25,80
40,mercer,30,58,8,22,21,29,10,33,9,14,6,3,22,89
41,yale,26,67,6,18,28,31,12,38,14,14,12,0,20,86
