Game.,Team,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,TR,AST,TO,STL,BLK,PF,PTS
1,ncasheville,22,57,3,13,10,21,11,31,9,15,1,3,32,57
1,kentucky,28,59,3,11,30,48,18,48,12,7,8,6,20,89
2,mcneesest,20,73,9,34,7,11,9,29,10,8,10,3,9,56
2,michiganst,42,81,10,26,4,5,18,66,32,15,4,4,12,98
3,davidson,26,62,3,21,22,25,13,31,4,10,2,0,23,77
3,duke,38,54,13,21,22,32,3,27,16,4,7,6,21,111
4,louisianamonroe,21,49,3,10,18,29,6,27,13,13,4,0,31,63
4,kansas,23,43,7,18,27,43,8,36,17,15,9,5,27,80
5,calpoly,20,54,11,26,11,13,10,26,13,11,4,0,26,62
5,arizona,24,42,5,11,20,36,10,34,12,11,4,7,15,73
6,UMASSLowell,14,49,4,17,10,12,10,33,7,15,5,0,24,42
6,michigan,20,53,5,18,24,32,14,32,13,7,10,2,11,69
7,cornell,22,54,10,32,6,8,7,26,13,17,4,3,16,60
7,syracuse,30,56,10,20,12,18,11,38,19,14,12,6,13,82
8,MVSU,18,54,4,19,22,38,11,33,5,22,8,1,31,62
8,oklahomast,38,62,12,21,29,41,12,44,22,13,12,3,29,117
9,northflorida,26,64,9,24,8,15,13,37,14,17,6,2,24,69
9,florida,24,54,2,10,27,32,8,35,11,13,9,4,12,77
10,oakland,20,55,8,25,13,18,6,22,13,14,10,0,19,61
10,unc,33,55,5,13,13,20,10,41,25,18,10,2,17,84
11,illinoisst,20,63,4,23,14,21,14,35,9,22,6,0,22,58
11,VCU,36,65,9,20,15,26,13,46,26,16,14,4,21,96
12,southern,21,59,8,23,6,16,12,38,14,17,5,2,34,56
12,marquette,13,36,4,13,33,53,4,35,10,14,7,2,19,63
13,connecticut,30,58,10,23,8,13,9,36,16,13,10,6,22,78
13,maryland,24,57,8,19,21,28,11,33,15,13,5,0,17,77
14,georgetown,27,59,1,15,20,30,14,32,12,11,7,6,31,75
14,oregon,20,49,6,22,36,44,16,40,15,13,9,2,28,82
15,stjohns,28,58,2,13,17,23,15,34,10,12,3,5,28,75
15,wisconsin,25,54,11,23,25,30,14,34,13,10,3,2,23,86
16,miamioh,21,48,6,22,14,19,7,30,15,12,3,1,12,62
16,notredame,26,52,10,21,12,15,5,27,21,7,9,1,17,74
17,drexel,24,63,5,23,14,20,11,39,11,11,4,0,16,67
17,ucla,29,63,5,14,9,13,8,38,16,11,8,4,15,72
18,jamesmadison,15,48,6,25,5,6,2,27,8,13,7,4,15,41
18,virginia,25,60,4,18,7,14,14,45,9,9,7,1,12,61
19,colorado,22,66,2,19,14,22,18,39,10,6,7,3,21,60
19,baylor,24,54,8,20,16,23,12,42,12,13,2,3,23,72
20,alcornst,21,58,9,26,10,15,4,26,9,18,1,3,29,61
20,creighton,35,63,11,24,26,36,10,45,25,6,12,0,18,107
21,chicagost,21,81,8,36,22,27,17,36,9,10,12,6,36,72
21,indiana,27,59,1,8,45,55,18,62,8,19,3,13,20,100
22,Ncwilmington,16,72,2,23,5,10,19,43,6,14,6,1,20,39
22,iowa,31,67,4,12,16,24,16,56,19,10,7,12,10,82
23,texasarlington,32,73,12,33,11,15,12,26,16,12,3,3,18,87
23,boisest,41,71,13,26,21,28,16,45,18,10,6,3,18,116
24,lafayette,20,51,11,24,8,15,8,32,15,16,3,1,27,59
24,villanova,21,54,5,30,28,38,14,41,16,7,6,6,16,75
25,umbc,22,61,6,23,11,25,11,35,12,16,8,1,30,61
25,arizonast,27,57,9,23,33,44,13,50,15,11,10,6,21,96
26,portlandst,19,61,0,7,10,15,15,41,4,20,11,0,24,48
26,unlv,23,53,8,19,13,28,11,42,18,18,10,5,19,67
27,savannahst,20,64,5,20,10,14,16,28,9,17,6,3,27,55
27,pittsburgh,26,52,7,15,29,38,16,47,16,16,7,5,21,88
