Game.,Team,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,TR,AST,TO,STL,BLK,PF,PTS
1,rhodeisland,24,60,14,32,13,16,9,29,16,16,7,6,25,75
1,pittsburgh,29,64,3,15,22,30,14,40,19,14,8,6,18,83
2,ucirvine,22,63,7,20,14,22,11,37,12,14,7,1,21,65
2,illinois,29,58,8,24,13,23,8,39,17,14,9,8,22,79
3,navy,19,63,4,23,10,18,5,30,8,16,5,5,24,52
3,texas,30,59,4,17,19,34,10,50,16,15,5,5,17,83
4,seattle,28,77,3,16,17,22,13,34,11,27,18,1,31,76
4,maryland,35,62,2,7,33,41,13,50,23,29,9,9,20,105
5,illinoischicago,22,58,3,10,7,9,5,25,9,11,0,3,18,54
5,pittsburgh,37,64,11,21,12,20,16,45,27,11,5,7,13,97
6,toledo,16,45,3,12,10,19,3,23,9,23,6,0,14,45
6,illinois,37,64,5,18,5,6,10,38,21,14,10,7,18,84
7,louisianatech,21,64,3,14,13,20,13,41,4,22,6,5,21,58
7,texas,34,74,4,16,17,22,12,47,18,14,12,7,21,89
8,charleston,25,56,8,20,16,19,10,36,12,22,8,8,19,74
8,maryland,34,66,2,7,5,18,13,36,17,18,11,3,18,75
9,easternmichigan,26,76,11,29,7,18,13,40,10,19,5,3,33,66
9,michiganst,31,59,6,13,28,42,9,51,18,20,9,10,19,96
10,jamesmadison,21,43,4,9,15,24,7,31,11,26,2,1,27,61
10,kansasst,24,55,10,19,17,32,13,34,14,16,9,6,24,75
11,ncat,21,55,5,16,14,18,4,22,8,18,4,3,23,61
11,ohiost,37,76,5,22,23,30,28,60,24,14,6,8,22,102
12,bucknell,19,56,8,22,6,8,5,29,15,12,2,2,16,52
12,villanova,24,57,10,27,10,14,10,43,14,12,4,4,10,68
13,longwood,28,62,11,30,8,13,10,29,16,23,6,0,22,75
13,kansas,43,69,8,19,19,27,13,39,28,12,15,6,17,113
14,lipscomb,22,63,9,29,13,21,12,39,15,17,9,2,25,66
14,unc,30,63,4,13,16,29,12,48,12,14,6,10,20,80
15,Ncwilmington,23,48,6,16,8,8,6,22,11,20,11,4,16,60
15,florida,28,57,6,19,15,22,15,36,18,15,12,1,11,77
16,northerniowa,15,55,6,33,10,15,14,34,8,12,3,0,21,46
16,syracuse,22,45,9,19,15,21,5,34,17,11,9,6,21,68
17,ETSU,23,61,5,17,14,19,6,33,12,10,6,3,21,65
17,kentucky,33,68,13,26,9,23,16,51,18,10,4,7,15,88
18,southern,24,58,12,31,12,20,1,16,15,14,6,5,22,72
18,gonzaga,39,72,13,22,26,33,21,57,26,14,9,1,21,117
19,grambling,18,62,6,27,10,23,9,34,8,25,7,2,34,52
19,baylor,31,58,4,12,21,38,12,52,15,23,7,5,17,87
20,georgetown,24,56,8,21,6,13,8,33,14,12,6,1,22,62
20,olddominion,21,52,3,12,14,23,11,41,15,12,9,10,17,59
21,campbell,20,49,7,19,13,20,5,24,9,16,5,3,26,60
21,virginiatech,22,52,5,19,21,31,14,41,13,19,3,7,20,70
22,setonhall,19,64,5,17,13,16,8,35,11,12,8,3,15,56
22,temple,26,61,2,12,8,13,13,49,13,18,4,9,17,62
23,chattanooga,18,55,9,34,17,24,5,35,8,19,3,2,23,62
23,tennessee,28,63,5,20,21,31,10,46,13,10,10,4,24,82
24,fresnost,20,57,2,21,14,27,9,36,9,16,10,3,15,56
24,BYU,30,61,6,21,17,24,8,43,18,13,7,1,20,83
25,MVSU,22,58,10,17,16,18,12,41,5,18,5,0,25,70
25,georgia,25,51,3,8,19,29,8,31,16,15,4,9,18,72
26,oakland,25,65,4,15,17,22,18,38,14,18,6,2,25,71
26,westvirginia,32,63,12,29,19,24,16,38,20,13,10,8,20,95
27,wofford,18,49,3,16,16,26,6,31,10,15,9,2,22,55
27,minnesota,25,56,3,15,16,25,13,41,17,13,10,6,18,69
28,northflorida,18,53,5,18,14,17,7,36,8,21,6,2,22,55
28,floridast,27,63,6,22,15,23,12,41,11,15,10,7,19,75
29,ucriverside,15,67,3,13,8,15,20,39,6,18,2,2,21,41
29,unlv,32,60,6,17,15,23,15,48,23,12,7,9,15,85
30,citadel,14,57,2,14,7,13,9,37,7,13,4,0,14,37
30,richmond,31,54,11,20,6,12,4,38,21,8,8,3,12,79
31,presbyterian,18,55,4,14,7,7,3,21,6,12,6,3,9,47
31,vanderbilt,37,61,9,22,5,6,8,40,22,9,6,7,10,88
32,tennesseetech,24,68,5,16,16,22,19,47,9,19,5,4,25,69
32,ncst,23,56,5,18,31,41,8,37,15,8,7,13,19,82
33,stonybrook,17,63,5,17,13,16,10,33,7,11,5,1,23,52
33,connecticut,28,68,8,23,15,20,21,59,13,13,6,6,23,79
34,idahost,31,56,6,12,12,15,7,29,13,17,3,2,22,80
34,colorado,28,58,6,15,26,33,8,29,17,7,10,1,17,88
35,tennesseest,23,64,6,19,13,21,12,36,10,12,8,2,19,65
35,mississippist,21,56,10,23,23,28,13,43,15,15,4,6,17,75
36,calstnorthridge,18,62,2,12,12,21,18,38,6,27,9,2,24,50
36,ucla,29,51,5,17,20,32,9,39,19,22,17,12,21,83
37,westernmichigan,26,61,5,20,8,13,11,38,11,11,7,2,18,65
37,xavier,23,54,9,25,13,18,8,28,18,9,4,2,17,68
38,jacksonville,25,58,8,18,19,24,9,36,11,18,9,1,22,77
38,miamifl,32,62,9,22,16,25,9,36,16,14,9,3,19,89
39,charlestonsouthern,14,52,4,24,7,12,13,51,9,27,10,2,22,39
39,georgiatech,17,59,3,22,15,28,15,39,9,14,16,8,14,52
40,cornell,24,53,10,28,7,12,10,31,14,13,8,0,14,65
40,albany,25,48,4,12,7,12,8,31,9,16,4,0,15,61
41,northdakotast,32,80,9,20,19,27,20,48,14,17,2,2,21,92
41,oregon,35,79,8,19,19,23,19,48,20,16,6,10,23,97
42,pepperdine,31,59,8,14,11,24,13,37,12,19,7,3,26,81
42,portlandst,22,52,8,17,31,38,9,30,14,16,5,3,22,83
43,UWMilwaukee,22,64,6,22,10,18,11,35,12,12,12,1,19,60
43,portland,27,56,10,21,16,18,7,41,20,15,6,6,15,80
44,seattle,26,62,10,26,14,28,14,37,12,18,6,1,23,76
44,sanfrancisco,32,67,8,20,25,34,18,49,20,13,10,0,27,97
45,calstbakersfield,23,50,7,17,24,31,7,31,10,21,12,1,31,77
45,santaclara,25,57,6,22,26,40,13,38,15,16,7,2,23,82
46,jacksonst,21,50,6,19,14,20,9,32,14,18,4,1,19,62
46,TCU,31,54,11,20,13,22,3,27,24,9,10,2,21,86
47,NMSU,31,60,12,25,18,25,11,38,22,15,4,3,24,92
47,louisianalafayette,25,56,7,18,19,28,8,31,11,17,8,5,19,76
48,sanjosest,18,55,3,13,28,37,15,42,9,9,8,3,23,67
48,easternwashington,19,51,6,19,16,29,12,40,12,17,3,7,25,60
49,northernarizona,26,63,3,13,9,16,10,37,12,17,3,4,18,64
49,iowast,29,62,11,23,9,12,7,35,16,15,5,5,16,78
50,southdakota,24,62,7,30,13,18,7,31,10,13,11,2,18,68
50,nebraska,27,62,3,14,19,21,11,44,17,14,5,3,12,76
51,coppinst,20,58,7,23,10,14,9,33,9,7,5,1,18,57
51,oklahoma,25,49,9,21,18,24,6,36,17,9,3,4,12,77
52,louisianamonroe,23,56,8,17,13,16,9,36,9,16,2,1,21,67
52,texastech,34,62,5,15,13,23,11,33,18,9,11,5,19,86
53,westerncarolina,23,57,8,23,10,19,7,29,13,14,6,1,32,64
53,clemson,28,47,6,17,25,46,10,37,16,11,7,4,24,87
54,centralmichigan,27,65,9,17,7,11,15,41,15,10,5,3,19,70
54,calstfullerton,24,46,8,15,11,24,5,26,12,10,4,1,15,67
55,pacific,26,60,11,26,3,10,10,39,17,13,4,2,16,66
55,utep,24,57,3,17,10,15,7,36,11,13,7,5,16,61
56,floridaatlantic,23,50,2,10,22,43,6,29,8,7,7,3,17,70
56,ucdavis,19,51,7,20,18,22,7,40,12,18,5,0,31,63
57,denver,15,41,7,19,12,15,6,24,10,22,5,2,20,49
57,UCSB,18,38,7,15,22,27,3,23,11,18,17,4,19,65
58,FGC,17,50,4,17,22,34,13,31,7,22,9,3,22,60
58,indiana,30,57,14,28,14,20,16,41,18,21,8,5,25,88
59,northwestern,35,70,15,33,12,14,15,35,17,11,6,2,17,97
59,northernillinois,26,50,6,17,20,28,8,29,13,19,5,3,15,78
60,lehigh,19,52,8,21,10,12,5,27,10,12,3,6,20,56
60,pennst,25,62,6,22,14,17,16,45,11,11,4,6,15,70
61,floridaAM,15,65,2,21,5,13,13,40,3,15,6,1,10,37
61,alabama,32,73,6,19,6,10,17,58,19,13,12,5,18,76
62,ncasheville,20,58,7,21,23,33,12,38,14,15,10,5,24,70
62,auburn,22,59,6,16,19,34,18,50,8,20,8,8,29,69
63,northwesternst,29,70,7,26,13,27,21,36,8,17,14,3,32,78
63,LSU,24,40,7,15,32,46,7,33,13,25,13,4,30,87
64,arkansasst,24,54,3,16,9,12,8,31,12,14,4,1,21,60
64,mississippi,26,60,3,14,13,16,11,38,9,10,6,5,19,68
65,elon,23,60,13,31,20,28,10,36,16,15,6,1,21,79
65,southcarolina,35,66,9,16,15,27,14,43,23,13,10,6,22,94
66,prairieviewam,21,59,9,25,7,11,3,19,12,20,11,3,27,58
66,marquette,36,60,3,10,22,35,15,51,25,17,12,11,18,97
67,georgiasouthern,16,48,3,15,26,34,8,27,11,17,4,3,24,61
67,notredame,33,68,8,26,24,27,16,46,21,10,8,2,25,98
68,rutgers,29,59,5,15,10,18,8,28,10,11,13,3,24,73
68,princeton,26,53,9,22,17,23,9,36,17,15,4,1,19,78
69,somiss,21,50,2,12,16,25,10,36,10,9,4,5,22,60
69,southflorida,18,52,5,18,12,23,14,42,12,13,4,4,25,53
70,stfrancisny,16,58,7,27,10,14,9,34,7,18,5,3,23,49
70,bostoncollege,26,54,4,21,23,30,6,38,14,9,4,5,18,79
71,williammary,18,48,7,26,9,16,4,27,8,8,4,1,13,52
71,virginia,28,56,12,23,8,11,8,37,17,8,6,1,15,76
72,stetson,32,69,5,13,20,26,14,45,12,13,12,3,21,89
72,wakeforest,25,61,8,26,21,23,6,33,16,17,2,8,22,79
73,gardnerwebb,26,54,7,18,19,30,10,43,10,17,7,6,23,78
73,charlotte,22,66,8,34,18,24,10,39,10,15,9,3,24,70
74,austinpeay,21,44,3,6,19,27,10,32,11,16,8,2,18,64
74,stlouis,22,47,4,18,14,21,4,23,12,13,9,7,21,62
75,brown,25,60,10,34,9,13,7,36,17,11,4,4,22,69
75,fordham,23,68,7,26,12,21,18,49,13,10,5,2,15,65
76,columbia,24,59,4,15,19,22,11,37,14,17,6,1,17,71
76,lasalle,34,60,6,13,8,13,6,32,17,15,14,4,17,82
77,rider,22,56,9,18,14,23,12,37,15,15,7,3,16,67
77,massachusetts,26,55,9,20,16,23,7,34,15,11,9,9,19,77
78,westernkentucky,39,64,11,21,9,13,9,41,26,17,7,3,23,98
78,stjoes,26,77,6,29,12,19,17,37,13,14,7,3,14,70
79,stbonaventure,26,53,4,17,14,21,7,27,13,14,9,1,25,70
79,canisius,25,50,6,19,24,35,12,33,13,14,7,1,20,80
80,alabamast,24,58,9,25,0,4,8,30,14,15,5,3,21,57
80,creighton,20,49,7,16,24,28,9,39,10,11,7,1,12,71
81,riogrande,12,49,6,21,16,23,9,28,6,9,6,1,15,46
81,indianast,26,52,10,20,7,10,8,40,14,13,3,5,22,69
82,oralroberts,21,52,2,10,17,26,13,29,6,14,6,5,25,61
82,missourist,23,47,7,16,25,34,13,36,14,15,7,7,22,78
83,southdakotast,22,57,10,20,13,17,7,38,12,11,4,4,19,67
83,easternillinois,20,54,3,11,12,21,9,39,10,13,4,6,23,55
84,easternkentucky,19,56,5,20,14,19,8,29,9,9,8,4,18,57
84,loyolachicago,23,51,9,18,18,25,12,39,14,14,5,7,15,73
85,IPFW,21,51,7,20,21,29,6,37,14,13,2,2,19,70
85,SIUEdwardsville,19,53,3,20,14,20,4,34,10,16,7,4,22,55
86,nichollsst,23,56,4,17,12,12,8,25,15,22,10,0,22,62
86,houston,21,45,7,23,14,20,13,34,10,26,12,7,20,63
87,arkansaslittlerock,18,46,5,7,16,21,6,36,12,11,7,2,17,57
87,someth,13,48,8,30,13,15,7,32,8,13,4,3,20,47
88,apallachianst,24,45,8,17,33,41,5,33,13,19,5,4,28,89
88,tulsa,29,63,8,22,20,36,13,33,13,15,12,1,30,86
89,tulane,30,59,6,21,25,31,11,40,11,17,12,3,23,91
89,umes,20,54,3,18,19,26,10,32,11,21,4,2,28,62
90,alcornst,17,57,3,12,19,37,9,32,7,19,7,5,36,56
90,texasAM,25,56,4,20,34,48,14,52,13,20,6,2,34,88
91,bowlinggreen,18,52,2,16,14,21,11,37,9,16,6,1,23,52
91,howard,18,46,4,18,14,34,11,39,7,15,7,4,17,54
92,kentst,27,52,6,13,13,23,8,38,17,21,11,5,20,73
92,iona,24,54,7,16,17,30,3,30,15,17,12,6,21,72
93,towson,18,58,2,17,19,26,11,39,5,9,7,1,17,57
93,miamioh,19,46,9,27,13,19,4,36,11,15,7,4,21,60
94,samford,23,46,3,16,12,28,8,36,13,11,5,0,16,61
94,youngstownst,22,60,9,33,11,17,15,36,12,10,8,5,22,64
95,boston,24,50,7,22,9,13,5,28,10,13,6,5,17,64
95,northeastern,22,58,7,16,15,18,12,37,13,11,7,0,14,66
96,maine,26,50,2,14,17,26,7,32,8,12,4,3,29,71
96,utahvalleyst,18,53,4,15,26,31,10,32,7,12,5,1,23,66
97,drexel,24,52,3,9,24,41,14,45,10,13,4,2,20,75
97,loyolamd,24,70,6,23,18,26,13,39,9,5,6,7,29,72
98,ncgreensboro,27,58,7,16,25,33,13,42,20,21,7,2,24,86
98,VCU,38,72,11,31,14,26,18,37,28,15,14,7,22,101
99,morganst,31,68,10,17,9,14,10,37,18,15,11,6,18,81
99,loyolamarymount,27,67,4,16,21,26,15,47,16,19,10,7,16,79
100,norfolkst,27,77,6,24,4,9,16,51,13,18,7,5,22,64
100,longisland,29,54,7,16,22,36,7,42,17,14,11,8,11,87
101,bryant,22,46,7,19,6,12,9,26,13,19,10,3,20,57
101,clevelandst,25,50,8,21,13,19,11,28,12,14,9,2,13,71
102,stfrancispa,22,50,5,14,3,11,5,32,9,17,5,2,19,52
102,american,22,51,5,19,13,21,9,34,12,12,7,4,16,62
103,lafayette,18,47,1,8,21,25,5,32,11,10,7,1,14,58
103,wagner,20,52,11,22,12,13,4,32,14,13,4,5,25,63
104,northflorida,21,56,4,13,3,7,9,28,10,21,4,2,21,49
104,pittsburgh,36,80,9,23,14,24,31,59,26,10,8,6,10,95
105,southernillinois,24,64,5,21,10,14,11,32,9,18,9,3,18,63
105,illinois,32,58,6,13,15,19,7,34,22,16,6,6,17,85
106,mcneesest,18,55,7,20,21,38,6,32,5,27,6,5,25,64
106,washington,43,92,12,30,20,42,28,69,24,12,12,5,27,118
107,SDSU,33,65,9,25,6,7,10,44,18,12,6,3,16,81
107,LBSU,24,64,5,23,12,19,12,34,11,9,6,0,11,65
108,weberst,23,54,9,20,10,17,5,31,11,12,3,1,28,65
108,utahst,26,57,1,12,24,30,10,41,14,10,4,7,19,77
109,delaware,24,55,4,14,17,28,6,34,14,19,1,4,22,69
109,ohio,35,74,4,15,14,26,15,47,15,10,9,3,24,88
110,mountstmarys,17,55,3,19,15,22,7,31,10,9,6,2,12,52
110,dayton,28,69,5,21,6,13,18,54,18,12,3,7,17,67
111,detroit,17,55,4,22,16,25,15,41,11,22,9,1,25,54
111,newmexico,21,55,3,20,18,25,12,38,14,18,9,4,23,63
112,denver,17,42,8,14,14,19,3,22,10,14,3,4,27,56
112,oregon,19,46,2,11,28,37,10,30,6,10,7,3,20,68
113,ucirvine,18,52,5,20,8,11,4,26,6,11,5,1,19,49
113,USC,19,55,7,22,17,21,15,47,9,14,4,4,12,62
114,southern,18,59,4,27,7,14,5,21,12,15,6,2,18,47
114,washingtonst,32,60,6,21,16,21,12,49,12,15,9,1,16,86
115,ucdavis,23,60,9,31,5,10,10,23,11,11,10,1,20,60
115,portland,28,45,9,14,10,15,4,33,15,17,9,2,15,75
116,montana,22,57,4,15,18,28,14,40,11,15,6,1,23,66
116,nevada,25,50,10,19,21,29,3,29,16,10,5,4,24,81
117,houstonbaptist,22,47,9,13,20,28,6,31,8,22,7,3,26,73
117,oklahomast,28,60,4,16,26,42,16,39,13,15,10,5,22,86
118,northdakotast,22,40,8,12,16,29,3,36,15,20,2,0,13,68
118,UCSB,24,72,5,22,7,8,12,38,6,12,9,3,25,60
119,dartmouth,16,63,3,20,17,25,11,28,8,14,8,3,23,52
119,providence,33,59,8,19,13,21,13,54,15,19,10,8,21,87
120,southcarolinast,27,64,4,20,23,31,9,35,14,15,9,3,36,81
