Game.,Team,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,TR,AST,TO,STL,BLK,PF,PTS
1,marist,15,65,3,25,16,19,8,33,8,14,5,0,22,49
1,duke,30,68,8,22,26,37,16,57,13,10,9,7,21,94
2,stephenfaustin,23,52,5,19,13,19,14,36,10,28,6,5,32,64
2,kentucky,31,62,5,18,20,30,12,29,21,13,12,8,19,87
3,indiana,31,71,15,31,26,36,18,50,15,18,7,3,31,103
3,kansas,31,71,7,23,30,38,12,39,16,11,9,2,32,99
4,lafayette,19,65,6,32,4,7,6,33,12,13,3,0,15,48
4,villanova,33,67,15,41,7,12,10,53,15,8,8,4,14,88
5,army,26,66,9,24,16,23,10,30,14,13,3,0,27,77
5,oregon,27,60,9,25,28,34,12,42,15,17,2,13,23,91
6,unc,34,69,9,20,18,25,18,52,23,13,7,2,20,95
6,tulane,25,72,12,30,13,19,17,38,12,12,5,4,21,75
7,lehigh,29,58,9,23,14,17,10,27,21,20,10,2,23,81
7,xavier,32,62,4,17,16,19,12,32,18,17,8,3,21,84
8,virginia,26,50,8,16,16,18,11,35,13,13,8,1,17,76
8,ncgreensboro,17,46,7,21,10,13,7,21,7,11,6,1,15,51
9,centralarkansas,15,53,6,16,11,18,13,29,10,12,6,3,18,47
9,wisconsin,25,53,11,29,18,23,15,45,14,11,6,6,17,79
10,arizona,20,52,5,14,20,27,12,34,7,14,12,2,20,65
10,michiganst,25,58,8,25,5,9,12,34,15,18,4,1,23,63
11,evansville,16,57,4,15,11,20,11,29,6,13,7,2,18,47
11,louisville,30,63,3,15,15,27,19,52,15,12,10,10,17,78
12,utahvalleyst,24,66,9,25,12,20,8,31,11,11,3,2,19,69
12,gonzaga,35,67,7,17,15,18,11,51,22,16,6,2,20,92
13,mcneesest,24,77,8,33,9,10,12,28,13,10,6,2,23,65
13,purdue,39,70,9,23,22,31,20,59,23,14,7,4,10,109
14,pacific,28,66,10,26,14,28,14,33,7,14,5,0,25,80
14,ucla,42,69,18,30,17,24,11,43,29,12,8,4,27,119
15,nevada,22,47,5,17,14,24,7,23,14,8,3,5,19,63
15,stmarys,33,55,5,13,10,15,10,32,21,6,3,0,20,81
16,wagner,20,53,9,25,18,23,13,39,13,12,6,3,16,67
16,connecticut,20,56,6,19,12,16,12,33,9,9,4,2,20,58
17,colgate,18,64,6,37,13,21,19,40,17,14,4,1,22,55
17,syracuse,34,62,7,20,8,19,13,46,23,11,10,5,20,83
18,mountstmarys,19,54,7,24,14,20,11,32,10,21,6,5,25,59
18,westvirginia,32,67,6,18,17,29,19,45,12,13,6,7,21,87
19,incarnateword,24,70,6,23,19,26,12,39,9,11,7,2,28,73
19,texas,27,58,3,18,21,30,4,42,9,15,5,8,24,78
20,umkc,30,69,9,19,13,15,12,35,13,13,11,2,22,82
20,creighton,30,59,10,25,19,28,10,37,19,17,4,3,19,89
21,dartmouth,19,54,4,12,19,23,13,36,6,20,2,0,20,61
21,rhodeisland,33,70,5,20,13,23,18,43,11,11,12,11,26,84
22,savannahst,25,76,13,48,8,16,10,36,20,22,12,2,20,71
