Game.,Team,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,TR,AST,TO,STL,BLK,PF,PTS
246,oregonst,35,76,7,21,12,16,17,43,16,16,6,1,22,89
247,drake,18,57,7,16,13,19,7,40,12,22,12,3,19,56
247,iowa,29,62,4,12,12,16,12,55,23,22,10,9,19,74
248,northwestern,10,21,7,24,12,18,5,23,15,15,7,1,17,53
248,depaul,22,42,5,15,6,11,13,40,21,15,6,2,17,65
249,SELA,25,62,9,28,17,22,8,62,8,10,2,0,27,76
249,alabama,26,49,5,16,26,43,11,75,11,11,7,4,20,83
250,coastalcarolina,28,68,5,17,7,11,16,36,13,18,7,2,29,68
250,georgetown,25,61,3,14,28,35,18,44,13,16,12,5,12,81
251,buffalo,19,69,2,13,13,20,17,43,7,21,5,4,30,53
251,rutgers,29,55,3,8,17,31,12,45,20,21,11,11,23,78
252,westerncarolina,19,41,4,13,17,26,4,23,11,19,8,1,25,59
252,virginiatech,18,52,4,16,21,31,17,39,7,20,10,3,19,61
253,prairieviewam,19,61,6,18,13,20,14,34,12,11,1,3,20,57
253,duquesne,24,51,10,19,19,25,9,40,18,15,4,6,18,77
254,fordham,23,60,5,30,8,16,6,31,11,20,13,3,21,59
254,siena,29,70,6,15,13,25,23,61,18,20,9,0,16,77
255,floridainternational,25,61,6,18,11,20,18,40,10,25,9,1,25,67
255,georgewashington,24,48,3,11,25,37,7,28,11,19,12,3,16,76
256,arkansaslittlerock,25,47,5,13,20,28,13,35,8,18,2,2,28,75
256,stbonaventure,24,54,7,18,34,40,13,25,14,13,11,1,23,89
257,jacksonst,20,54,8,22,15,23,6,34,9,22,10,3,29,63
257,louisianatech,27,57,1,9,22,36,11,44,12,24,13,1,19,77
258,southcarolina,22,59,8,24,15,21,13,35,13,11,8,6,17,67
258,richmond,20,59,4,16,17,22,15,42,15,14,7,3,21,61
259,sanfrancisco,19,54,3,16,10,16,8,33,14,16,10,2,20,51
259,missourist,23,48,8,11,18,25,13,57,15,24,11,2,19,72
260,southflorida,26,57,3,11,9,16,15,40,11,19,4,3,24,64
260,valparaiso,19,49,4,14,20,27,7,27,11,16,8,3,17,62
261,alcornst,18,49,7,20,16,24,2,13,12,15,7,4,24,59
261,texasamcc,37,57,7,11,18,27,13,46,22,18,5,1,21,99
262,southern,20,46,6,16,14,19,11,28,11,12,7,4,22,72
262,tulane,21,41,7,15,15,25,17,44,17,18,4,6,17,78
263,norfolkst,16,62,2,19,8,15,9,56,5,13,6,2,24,42
263,wyoming,25,45,8,18,26,33,3,82,17,13,5,7,18,84
264,rhodeisland,16,43,2,5,20,35,13,39,8,23,5,2,24,54
264,miamifl,16,47,6,18,15,22,9,34,12,20,8,5,27,53
265,louisianamonroe,20,64,7,17,18,28,19,41,12,23,8,4,26,65
265,northeastern,29,70,2,16,21,34,15,41,13,19,8,7,28,81
266,utahst,18,40,5,11,25,29,9,38,10,16,2,4,20,66
266,weberst,22,52,3,16,13,22,8,24,10,5,5,0,21,60
267,texassouthern,18,35,3,12,18,32,4,28,7,17,11,2,14,63
267,somiss,24,41,7,24,8,15,14,43,16,17,8,3,23,77
268,stephenfaustin,30,53,10,17,9,12,7,26,14,17,13,5,17,79
268,baylor,19,48,6,20,13,17,12,32,5,24,7,1,12,57
269,lipscomb,17,48,2,12,21,26,9,24,11,20,7,1,21,57
269,kansasst,33,60,5,12,21,27,16,38,22,14,8,2,22,92
270,wagner,20,53,3,23,14,27,12,46,10,18,4,4,20,57
270,brown,29,80,8,22,9,19,8,48,16,14,7,3,23,63
271,colgate,22,52,7,15,19,20,11,44,17,16,6,2,19,84
271,cornell,20,48,6,22,19,29,17,46,10,15,12,2,20,77
272,calstnorthridge,26,60,6,15,12,16,7,28,14,22,14,2,28,70
272,loyolamarymount,25,53,3,7,28,37,11,39,15,23,11,2,17,81
273,kentst,23,57,8,16,13,20,12,28,10,8,5,2,18,67
273,IPFW,23,45,10,18,10,13,4,26,15,9,5,5,17,66
274,clevelandst,26,51,5,15,40,64,9,48,13,25,7,5,39,97
